Grade,Topic,Sub-topic,Challenge Type,Problem,Student Mistake Prompt,Student Mistake Prompt
K2,Geometry,parts of a whole,Conceptual Error,Identify the shape that represents half of a square.,"Student incorrectly identifies a triangle as half of a square, confusing shapes.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: the center, radius, and circumference.","Student confuses the radius and circumference, labeling them incorrectly.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the half of a circle using a paper plate.,"Student cuts the plate unevenly, not accurately dividing it into two equal parts.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle.,"Student colors a portion of the circle that is not equal to half, misunderstanding the concept of halves.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the parts of a circle and write them down.,"Student confuses the terms 'radius' and 'diameter', labeling them incorrectly.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: center, radius, and circumference.",Student confuses the radius with diameter and labels it incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle using crayons.,Student colors more than half of the circle because they misunderstand the concept of halves.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color in one half of a circle.,Student colors more than half of the circle due to misunderstanding the concept of 'half'.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and shade 1/2 of a circle using crayons.,Student shades an incorrect portion of the circle thinking 1/2 means coloring the upper half instead of dividing it correctly.,
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: center, radius, and circumference.","Student labels the parts of the circle incorrectly, confusing radius and diameter.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: center, radius, and circumference.",Student labels the center as the circumference and confuses the radius with the diameter.,
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (center, radius, circumference).","Student labels the radius as the diameter, confusing the terms.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the half of a circle drawn on a paper.,"Student counts the segments of the circle instead of recognizing the shape, misunderstanding what constitutes 'half'.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle.,Student colors more than half of the circle because they misunderstand what half means.,
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: the center, radius, and diameter.",Student confuses the terms and labels the radius as the diameter.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the number of equal parts in a circle divided into four sections.,Student miscounts the sections as three instead of four due to visual confusion.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the parts of a circle (like the radius and diameter).,"Student confuses the radius with the diameter, marking both as the same line.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the two halves of a circle drawn on paper.,Student incorrectly identifies one-third of the circle as a half due to misunderstanding the concept of equal parts.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the fraction of the pizza that is left after two slices have been eaten.,Student inaccurately counts the remaining slices and miscalculates the fraction based on a wrong total.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color one half of a circle.,Student colors more than half of the circle due to misunderstanding of the concept of halves.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the parts of a pizza and how many slices are present.,"Student counts the slices in a way that confuses halves with quarters, leading to incorrect totals.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle.,"Student colors more than half of the circle, misunderstanding the concept of 'half'.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle using a pencil.,Student colors the entire circle instead of just half due to misunderstanding of the concept.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color 1/2 of a circle using crayons.,"Student colors too much of the circle, thinking that any part of it could represent 1/2.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the halves of a circle by folding it.,"Student folds the circle unevenly, thinking they created equal halves.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the number of slices in a pizza divided into equal parts.,"Student counts the edges instead of the slices, leading to an incorrect total.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle.,"Student colors more than half of the circle, misunderstanding the concept of 'half'.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the halves of a circle drawn on the paper.,"Student colors both halves of the circle the same color, thinking they are one part.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color one part of a circle drawn on paper.,"Student colors a random section of the paper instead of focusing on the circle, misunderstanding the task.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the number of pieces in a circle divided into four equal parts.,"Student counts the parts incorrectly by skipping one, claiming there are only three pieces.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the number of equal parts in this circle and color one part.,Student colors more than one part due to misunderstanding of 'one part'.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the half of a circle using a paper cutout.,Student incorrectly labels a quarter of the circle as half due to misunderstanding of the parts.,
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (like the center, radius, and circumference).","Student confuses the radius with the diameter, labeling it incorrectly.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the number of equal parts in a circle divided into four sections.,Student counts the sections but mistakenly includes the space between them as an additional part.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the fraction that represents the shaded part of the circle.,"Student mistakenly counts the whole circle as the shaded part, misunderstanding parts of a whole.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the parts of a pizza divided into 8 slices.,"Student incorrectly counts the slices as 6 instead of 8, misunderstanding the whole.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the different parts of a circle: center, radius, and circumference.",Student confuses the parts of the circle and thinks the radius is the entire circle instead of just the distance from the center to the edge.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle on a paper.,"Student colors more than half of the circle, misunderstanding what 'half' means.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle.,"Student colors more than half of the circle, misunderstanding the concept of halves.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the different parts of a circle (radius, diameter, circumference).","Student confuses the radius and diameter, calling the radius the 'big part' of the circle.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (center, radius, circumference).",Student confuses the radius with the circumference and labels them incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the fraction that represents the shaded part of the circle.,Student incorrectly identifies the shaded area by counting the wrong sections of the circle.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the different sections of a pizza and label them as parts of a whole.,Student labels each slice with the same number instead of recognizing them as parts of a whole.,
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: center, radius, and circumference.","Student mistakenly labels the radius as the diameter, confusing the two terms.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (e.g., radius, diameter, circumference).","Student confuses the diameter with the radius, labeling them incorrectly.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: center, radius, and circumference.",Student thinks the circumference is the center of the circle and labels it incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the parts of a circle.,Student confuses the radius with the diameter and labels them incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the shaded part of a circle divided into 4 equal parts.,"Student incorrectly identifies the shaded area as two parts instead of one, showing confusion about fractions.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the two halves of a circle from a paper cutout.,"Student misidentifies the parts, thinking that one half is larger than the other.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the parts of a circle and label them.,"Student labels the parts incorrectly, confusing 'radius' with 'diameter'.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color one part of a triangle in a picture of a triangle divided into three equal parts.,"Student colors more than one part of the triangle, misunderstanding the concept of 'one part'.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the shape that is half of a circle.,Student confuses the shape with a full circle and identifies it incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the shape that is half of a circle.,Student mistakenly points to a square thinking it represents half of a circle.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a circle.,"Student colors a small section instead of half the circle, misunderstanding the concept of 'half'.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color one part of a pizza divided into 4 equal slices.,"Student colors more than one slice, misunderstanding that one part means only a single slice.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color one-half of a circle.,Student colors a random section instead of accurately coloring one-half of the circle.,
K2,Geometry,parts of a whole,Conceptual Error,Identify which shape is a circle among a group of shapes.,Student points to a picture of a square instead of the circle due to misunderstanding the shape's properties.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the parts of a pizza divided into 8 slices.,Student believes that 3 out of 8 slices is half of the pizza.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the parts of a pizza divided into 4 slices.,Student mistakenly thinks each slice is a whole pizza instead of a part of it.,
K2,Geometry,parts of a whole,Conceptual Error,Circle the half of the pizza that shows the equal parts.,Student circles the wrong section due to not understanding the concept of halves.,
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (center, radius, circumference).","Student labels the radius as the circumference, confusing the terms.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the two halves of a circle using a paper model.,"Student colors both halves of the circle the same color, thinking they represent the whole.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color half of a shape divided into four equal parts.,"Student colors three parts instead of two, misunderstanding the concept of 'half'.",
K2,Geometry,parts of a whole,Conceptual Error,Identify the pieces of a circle and match them with their names.,Student confuses 'radius' with 'diameter' and labels them incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color the half of the circle in the worksheet.,"Student colors the wrong section of the circle, thinking they need to color the whole circle instead of just half.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle: the center, radius, and circumference.","Student confuses the radius with the diameter, labeling it incorrectly.",
K2,Geometry,parts of a whole,Conceptual Error,"Identify and color the parts of a circle (e.g., center, radius, circumference).","Student colors the entire circle instead of labeling the parts, misunderstanding the task.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color in half of a circle in the worksheet.,"Student colors more than half of the circle, misunderstanding the concept of 'half'.",
K2,Geometry,parts of a whole,Conceptual Error,Identify and color the parts of a circle.,Student colors the circle but forgets to identify the sections like the radius and diameter.,
K2,Geometry,parts of a whole,Conceptual Error,Identify and color 1/2 of a circle.,Student colors more than half of the circle due to misunderstanding the concept of halves.,
K2,Geometry,parts of a whole,Conceptual Error,"Identify the parts of a circle (center, radius, circumference).",Student confuses the center of the circle with the circumference and labels it incorrectly.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the parts of a circle by coloring the correct sections.,Student colors sections randomly without understanding the parts of a whole.,
K2,Geometry,parts of a whole,Conceptual Error,Identify the shape that represents a half of a circle.,Student mistakenly chooses a rectangle instead of a semicircle due to misunderstanding the concept of halves.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What is 1/2 of 4?,Student thinks of 1/2 as 1 out of 2 things and counts all 4 instead of dividing it into two equal parts.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What is 1/2 of an apple if we have 1 whole apple?,Student thinks 1/2 means to only count 1 apple instead of dividing it.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if you eat 1/4 of it and it's originally 1 whole pizza?,Student thinks the answer is 3/4 without considering the whole pizza concept.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza that is divided into 4 equal slices,Student counts all slices instead of identifying the one slice that represents the fraction.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 1/4 is eaten?,Student thinks that 1/4 of the pizza means there are 4 slices left instead of realizing it's a part of the whole.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of the pizza is left if you eat 1/4 of it?,Student thinks the answer is 3/4 but doesn’t understand that it’s the whole pizza minus the part eaten.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction represented by 3 shaded parts out of 5 total parts.,Student believes that 3 out of 5 should be written as 5/3 instead of 3/5.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza if the whole pizza has 8 slices.,Student believes 1/4 means taking 4 slices instead of recognizing it as one part of four equal parts.,
K3,Numbers and Operations,fractions as parts of a whole,Procedural,Identify the fraction represented by 3 out of 4 parts of a pizza.,Student writes '3/4' as '4/3' and thinks it means the same.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 1/4 has been eaten from a whole pizza?,"Student thinks the answer is 1/4 instead of 3/4, misunderstanding the concept of parts of a whole.",
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction of a pizza left after eating 1/4 of it from a whole pizza (1 whole pizza).,Student thinks the remaining pizza is 3/4 without understanding that it’s a fraction of the whole pizza context.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 3 out of 8 slices are eaten?,Student incorrectly counts the slices and thinks there are only 5 slices left instead of identifying the remaining fraction.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/2 of a pizza that is divided into 4 equal slices.,Student thinks 1/2 means taking 3 slices instead of 2.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 1/4 is eaten and the pizza was originally 1 whole?,Student thinks the answer is 3/4 because they forget to consider the whole pizza as part of the calculation.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/2 of a pizza that is divided into 4 equal slices.,Student mistakenly thinks 1/2 means taking 2 slices from a total of 4 instead of recognizing it as 2 out of 4 slices.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What is 1/2 of 4?,Student thinks 1/2 means to subtract 2 from 4 instead of dividing it.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction of a pizza that is left if 2 out of 8 slices are eaten.,Student mistakenly adds the eaten slices to the total slices instead of subtracting.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 3/4 of it is eaten?,Student thinks that the answer is 1/4 and does not recognize that the question involves finding the remaining part.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza that is divided into 8 equal slices,Student thinks of 1/4 as taking 4 slices instead of identifying the correct fraction of the whole pizza.,
K3,Numbers and Operations,fractions as parts of a whole,Procedural,Identify 1/4 of 8,Student thinks of it as subtracting 1 from 8 instead of finding a portion.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of the pizza is left if 1/4 of it is eaten?,Student thinks that the answer is 1/4 instead of recognizing that 3/4 of the pizza is left.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction represented by 3 shaded parts out of 5 total parts.,Student thinks the fraction is 3/5 but counts the shaded parts without considering the total parts.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if you eat 1/4 of it?,Student thinks the answer is 3/4 but adds 1/4 instead of subtracting.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/2 of a pizza if the pizza is divided into 4 equal slices.,Student thinks 1/2 means taking 2 slices instead of understanding it's half of the whole.,
K3,Numbers and Operations,fractions as parts of a whole,Procedural,Identify 1/4 of 8,Student counts by ones instead of dividing 8 into 4 equal parts.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of 8 apples.,Student counts all 8 apples instead of grouping them correctly to find 1/4.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if you eat 1/4 and the pizza is cut into 4 equal pieces?,Student thinks the total number of pieces needs to be counted instead of just subtracting the eaten part from the whole.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/2 of 6 apples,Student counts the total apples instead of understanding that 1/2 means dividing the apples into two equal groups.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction that represents 3 out of 5 parts of a whole.,Student thinks 3/5 means taking away 3 from 5 instead of representing a part of a whole.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What is 1/2 of 8?,Student thinks of 1/2 as a whole number and answers 8 instead of finding half.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction represented by 3 out of 8 parts shaded in a drawing.,"Student says the fraction is 3 instead of 3/8, not understanding the concept of fractions as parts of a whole.",
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of 8 apples.,Student thinks 1/4 means to take away 4 apples instead of dividing them into quarters.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What is 1/2 of a pizza if the pizza is cut into 8 equal slices?,Student says the answer is 4 slices instead of recognizing that 1/2 means they should take 4 out of the 8 slices.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza if there are 4 equal pieces.,Student thinks 1/4 means to take 1 piece instead of recognizing it's 1 piece out of 4 total pieces.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 3 out of 8 slices are eaten?,Student thinks they need to add the eaten slices to the remaining slices instead of simply recognizing the fraction of the whole pizza.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza if the pizza is divided into 8 equal slices.,Student thinks 1/4 means to take 4 slices instead of understanding it as 2 slices out of 8.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction that represents 3 parts out of 5,Student incorrectly counts the total parts as 6 instead of 5.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza with 8 slices,Student thinks 1/4 means to eat 4 slices instead of taking 1 out of 4 equal parts.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction that represents 3 out of 4 apples eaten.,Student thinks the fraction should be written as 3/4 of the apple instead of 3/4.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What is 1/2 of an apple if the apple is cut into 4 pieces?,Student thinks 1/2 means taking 2 pieces instead of understanding it as a fraction of the whole.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What is 1/2 of 6?,Student thinks 1/2 means to subtract 1 from 6 instead of finding half.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 1/4 is eaten out of 1 whole pizza?,"Student believes that 1/4 eaten means there are 3/4 pizzas left, but confuses the whole with parts.",
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What is 1/2 of 6 apples?,Student thinks that 1/2 means to subtract 1 from 6 instead of dividing it into two equal groups.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 3 out of 8 slices are eaten?,Student thinks the whole pizza is still 1 whole instead of recognizing the fraction of the pizza that is left.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 1/4 of it is eaten out of the whole pizza?,Student thinks that 1/4 eaten means there are 3 quarters left instead of understanding it as 3/4 of the pizza remaining.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 1/4 is eaten from 1 whole pizza?,"Student confuses the fraction of the whole with the parts of the pizza eaten, stating the remaining fraction as 1/4 instead of 3/4.",
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza if it is divided into 4 equal slices.,Student thinks that 1/4 means taking away one whole slice instead of recognizing it as one out of four equal parts.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza when the pizza is divided into 8 equal slices.,Student thinks 1/4 means taking 4 slices instead of identifying 2 out of the 8 slices.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if you eat 1/4 of it?,"Student believes that eating 1/4 means the remaining pizza is 3/4 of the total pizza, but they forget that the whole pizza counts as 1 whole.",
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What is 1/2 of 8?,Student thinks of 1/2 as the number 1 and adds it to 8 instead of multiplying.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 3/8 of it has been eaten?,Student thinks all remaining pizza is covered by a fraction and does not realize that they need to subtract from 1 to find the remaining fraction.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a chocolate bar is 3 parts if the bar is divided into 5 equal parts?,Student thinks each part is a whole unit instead of a fraction of the whole.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza from a whole pizza.,Student thinks 1/4 means to take 1 piece of the whole pizza instead of dividing it into 4 equal parts.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza when given a whole pizza divided into 4 equal slices.,Student thinks that 1/4 means choosing 1 out of 4 slices instead of understanding it as one part of the whole pizza.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if you eat 1/4 of it?,Student thinks the answer is 1/4 instead of recognizing that 3/4 is left.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of 8 is 4?,Student thinks that 4 is the whole and needs to be divided by 8 instead of recognizing 4 as a part.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 1/4 is eaten and the whole pizza is 1?,"Student thinks that if 1/4 is eaten, the answer is 1/4 left instead of finding the leftover part.",
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 2 out of 8 slices are eaten?,Student thinks that the remaining slices must add up to a whole number without considering the fraction.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction represented by 3 out of 4 parts shaded in a shape.,Student incorrectly thinks that the fraction is 3 instead of 3/4.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction represented by 3 shaded parts out of 8 total parts.,Student thinks the fraction is 3/8 but states it as 'three out of eight' without recognizing it as a fraction.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza,Student thinks that 1/4 means to take one slice of any pizza without understanding that the pizza needs to be divided into four equal parts.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 3 out of 8 slices are eaten?,Student thinks the answer is the whole pizza instead of calculating the remaining slices.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza that has 8 slices.,Student thinks 1/4 means taking 4 slices instead of identifying the fraction of the whole.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is 3 out of 8 slices eaten?,Student believes that '3 out of 8' means the whole pizza is only worth 3 slices.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/2 of a pizza that is divided into 8 equal slices.,Student believes they should add the slices instead of selecting the correct number of slices that represent 1/2.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if you eat 1/4 of it?,Student thinks the answer is 1/4 instead of recognizing it should be 3/4.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 2 out of 8 slices are eaten?,Student counts whole slices instead of parts of the whole pizza.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/2 of 8 apples.,Student counts all 8 apples instead of dividing them into halves.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/2 of a pizza that is divided into 4 equal slices.,Student counts the total number of slices instead of finding the fraction of the pizza.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What is 1/4 of 8?,Student thinks they need to add 1 and 4 before dividing 8.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify the fraction that represents 3 out of 5 parts of a whole.,Student writes '3/5' but thinks it means having 3 whole items instead of parts.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Identify 1/4 of a pizza that is divided into 4 equal slices.,Student thinks 1/4 means to take one whole pizza instead of one slice.,
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What fraction of a pizza is left if 3/4 of it is eaten?,Student thinks the answer is 1/4 but counts the remaining parts incorrectly.,
