Grade,Topic,Sub-topic,Challenge Type,Student Mistake Prompt,Problem
K6,Algebra,Writing and evaluating expressions involving variables,Writing and evaluating expressions involving variables,Simplify the expression 3x + 2y - 4x - 5y,"I added x and y together, but I forgot to combine like terms. To simplify, I should combine the x terms and the y terms separately."
K6,Algebra,Writing and evaluating expressions involving variables,Order of operations,"Simplify the expression 3x + 2y - 4z when x = 2, y = 5, z = 3","Students often forget to use parentheses when substituting values for variables, leading to errors in the final result."
K6,Algebra,Writing and evaluating expressions involving variables,Misunderstanding the order of operations,Simplify the expression: 2x + 3y - 4x + y,Students often mistakenly add like terms without accounting for the order of operations. They might combine 2x and -4x first instead of combining 2x and -4x as -2x. So the incorrect simplification might be: 2x + 3y - 4x + y = -2x + 3y + y = -2x + 4y
K6,Algebra,Writing and evaluating expressions involving variables,Evaluation of expressions involving variables,Simplify the expression 3x + 2y - x - y when x = 4 and y = 5,Students often mistakenly combine x and y terms together and forget to distribute the coefficients correctly
K6,Algebra,Writing and evaluating expressions involving variables,Misinterpreting Order of Operations,Simplify the expression 3x + 4 - 2x + 5,Students often mistakenly combine 3x and -2x without considering the signs or order of operations correctly.
K6,Algebra,Writing and evaluating expressions involving variables,Misunderstanding the order of operations,Simplify the expression 3x + 4y - 2x + 5y,"Students might incorrectly combine terms starting from left to right without following the order of operations, resulting in incorrect simplification."
K6,Algebra,Writing and evaluating expressions involving variables,Writing and evaluating expressions involving variables,Solve the following equation for x: 3x + 5 = 17,"The student mistakenly added 3 and 5 together, then subtracted their sum from 17 to get x."
K6,Algebra,Writing and evaluating expressions involving variables,Writing and evaluating expressions involving variables,Simplify the expression 3x + 5 - 2x for x = 2,The student incorrectly subtracted 2x from 5 instead of adding it to 3x. The student's working might look like this: 3x + 5 - 2x = 3x + 5 - 2x = 3 + 5 - 2 = 3 + 3 = 6. They did not combine like terms correctly.
K6,Algebra,Writing and evaluating expressions involving variables,Writing and evaluating expressions involving variables,Simplify the expression: 3x + 2y - x + 4y,"The student mistakenly combined x and y terms together, resulting in 2xy + 6y instead of 2x + 6y"
K6,Algebra,Writing and evaluating expressions involving variables,Order of operations,Simplify the expression 3x + 2y - x - 5y,"Students often mistakenly combine like terms without following the correct order of operations. They might simplify it as 2x - 3y, forgetting to combine the x and y terms separately first."
K6,Algebra,Writing and evaluating expressions involving variables,Confusion with the order of operations,Simplify the expression: 2x + 5 - 3x + 7,"I added 2x and -3x and got -1x, but I forgot to also include the 5 and 7 in the final answer."
K6,Algebra,Writing and evaluating expressions involving variables,Confusion with the order of operations,Simplify the expression 3x + 5 - x when x = 2.,"The student mistakenly subtracted x from 5 before combining like terms, resulting in 5 - x being incorrectly simplified to -3 instead of 5 - 2 = 3."
K6,Algebra,Writing and evaluating expressions involving variables,Order of operations,Simplify the expression: 3x + 2y - 4x + 5y,"Students often mistakenly combine the x and y terms together without considering the signs. It is important to first combine like terms, considering the coefficients and signs separately."
K6,Algebra,Writing and evaluating expressions involving variables,Misunderstanding of Variables,"Solve the expression: 4x + 2y - 3x, where x = 5 and y = 3.","I added the x and y together, getting 9, instead of combining like terms first. I also forgot to subtract 3x correctly."
K6,Algebra,Writing and evaluating expressions involving variables,Misunderstanding of Order of Operations,Simplify the expression 3x + 4 + 2x - 5,"The student added 3x + 2x to get 5x without considering that the x terms must be combined as 3x + 2x = 5x, then combined with the constants 4 - 5 = -1. So, the simplified expression is 5x - 1."
K6,Algebra,Writing and evaluating expressions involving variables,Misunderstanding order of operations,"Solve the following expression: 2x + 3y - 4x, where x = 5 and y = 2.","The student mistakenly subtracted 4x from 2x before combining like terms, leading to the incorrect answer. They should first combine 2x and -4x to get -2x, then add 3y to get the final result."
K6,Algebra,Writing and evaluating expressions involving variables,Order of Operations,Simplify the expression 2x + 3(x - 4),"Students often forget to apply the distributive property and mistakenly distribute the 3 to only the x term or only to the -4 term, resulting in errors in simplifying the expression."
K1,Numbers and Operations,Word problems within 20,Confusion with addition and subtraction,Liam had 13 candies. He gave 5 candies to his friend. How many candies does Liam have now?,"Many students mistakenly add 13 and 5 instead of subtracting 5 from 13, resulting in an incorrect answer."
K1,Numbers and Operations,Word problems within 20,Addition and Subtraction Word Problems,Amanda had 14 marbles and she gave 7 marbles to her friend. How many marbles does Amanda have now?,"Student may mistakenly add instead of subtracting, getting 14 + 7 = 21 instead of the correct answer, which is 14 - 7 = 7."
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,Sara has 12 apples and she gives 4 apples to her friend. How many apples does Sara have now?,Students sometimes forget to subtract the apples Sara gave away and incorrectly answer 16 instead of 8.
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,Sally had 14 apples and she gave 8 apples to her friend. How many apples does Sally have now?,Student mistakenly adds the apples Sally gave away instead of subtracting them.
K1,Numbers and Operations,Word problems within 20,Coding words into mathematical operations,"There are 12 apples in a basket. If Sarah takes 5 apples and John takes 3 apples, how many apples are left in the basket?","Students might add 5 and 3 instead of subtracting them from the total, resulting in an incorrect answer. The correct operation is 12 - 5 - 3 = 4."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of key words,Sam has 14 marbles. He found 6 more marbles. How many marbles does Sam have now?,The student adds 14 and 6 instead of correctly finding the total amount of marbles Sam has after finding 6 more.
K1,Numbers and Operations,Word problems within 20,Misinterpretation of keywords,Tommy had 12 marbles and Jane gave him 5 more. How many marbles does Tommy have now?,"Student adds 12 and 5 together rather than recognizing 'gave him 5 more' means addition, resulting in incorrect answer of 17."
K1,Numbers and Operations,Word problems within 20,Understanding of addition in word problems,Maria has 8 apples and her friend gives her 5 more apples. How many apples does Maria have now?,The student may mistakenly subtract instead of add because they see the word 'more' and think they need to take away.
K1,Numbers and Operations,Word problems within 20,Misinterpreting key information,Tom has 15 apples and Mary gives him 7 more apples. How many apples does Tom have now?,"Student adds 15 and 7 to get 22, forgetting that Mary gave Tom the additional 7 apples."
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,Sally has 12 apples and she gives 8 apples to her friend. How many apples does Sally have left?,"Students might add the number of apples she gave away instead of subtracting, and get the answer 20."
K1,Numbers and Operations,Word problems within 20,Difficulty in understanding the concept of addition within 20,Tommy has 8 apples and his friend gives him 5 more. How many apples does Tommy have now? ,The student may try counting all the apples from the beginning instead of just adding the new apples to what Tommy already has.
K1,Numbers and Operations,Word problems within 20,Difficulty understanding the concept of addition,Sara had 8 apples and her friend gave her 6 more apples. How many apples does Sara have now?,"The student may incorrectly count the total number of apples as 14 by only considering the number of apples her friend gave her, without adding it to the original number of apples Sara had."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of key words,Terry had 12 marbles. He found 5 more marbles. How many marbles does Terry have now?,"The student mistakenly subtracted instead of adding, thinking 'found' means to take away instead of adding."
K1,Numbers and Operations,Word problems within 20,Addition within 20,Tom has 9 apples. He buys 5 more apples. How many apples does Tom have now?,"The student counted 9 and 5 by drawing dots, but forgot to combine the total number of dots to find the answer."
K1,Numbers and Operations,Word problems within 20,Misinterpreting operation,Tommy had 14 toys and his friend gave him 5 more. How many toys does Tommy have now?,Many students mistakenly subtract instead of adding here. They calculate 14 - 5 instead of 14 + 5.
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,Mary had 14 apples and she gave 6 apples to her friend. How many apples does Mary have now?,"Some students mistakenly subtract 6 from 14 instead of correctly subtracting 6 from the total, getting the answer as 8 instead of 8. Therefore, the mistake is subtracting from the wrong number."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,There are 12 red apples and 8 green apples in a basket. How many apples are there in total?,Students often only count one color of apples instead of adding both quantities together.
K1,Numbers and Operations,Word problems within 20,Addition and Subtraction within 20,Mary had 12 apples and she ate 5. How many apples does Mary have now?,"Student thinks Mary will have 17 apples now, but actually Mary will have 7 apples left after eating 5."
K1,Numbers and Operations,Word problems within 20,Misinterpreting the operation,Tom has 12 red apples and gives 5 apples to his friend. How many apples does Tom have now?,Student subtracts 12 - 5 instead of doing 12 - 5 + (gives) 5.
K1,Numbers and Operations,Word problems within 20,Misunderstanding of the concept of addition,"Tom had 8 apples, then he got 5 more apples. How many apples does Tom have now?",The student may try to count all the apples Tom has from the beginning instead of adding the additional 5 apples to the existing 8 apples.
K1,Numbers and Operations,Word problems within 20,Confusion in identifying keywords in word problems,Jenny has 12 apples. Peter gave her some more apples. Now she has 18 apples. How many apples did Peter give her?,Students often confuse 'gave her some more apples' as 'total apples Peter has' and end up adding both quantities instead of finding the difference.
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,A bakery sold 15 apple pies in the morning and 7 apple pies in the afternoon. How many apple pies did the bakery sell in total?,"Students often forget to add the number of apple pies sold in the morning and in the afternoon together, instead of just picking one of the numbers given."
K1,Numbers and Operations,Word problems within 20,Misunderstanding the 'more than' or 'less than' concept,Samantha has 14 stickers. Michael has 8 stickers. How many more stickers does Samantha have than Michael?,"The student subtracted 14 - 8 using the order in which the names were given, instead of considering Samantha having more stickers. The correct calculation should be 14 - 8 = 6."
K1,Numbers and Operations,Word problems within 20,Difficulty understanding the question,Tommy had 12 apples and gave 5 apples to his friend. How many apples does Tommy have now?,The student may struggle to comprehend the concept of subtraction and may add the numbers instead of subtracting.
K1,Numbers and Operations,Word problems within 20,Addition word problem,Sammy had 14 marbles and his friend gave him 7 more marbles. How many marbles does Sammy have now?,Student might incorrectly add 14 and 7 to get 21 marbles instead of correctly adding to get 14 + 7 = 21 marbles.
K1,Numbers and Operations,Word problems within 20,Misinterpreting the problem,A bakery sold 15 cupcakes in the morning and 7 cupcakes in the afternoon. How many cupcakes did they sell in total?,"Student adds 15 and 7 to get 22 as the answer, forgetting to account for the fact that they are finding the total number of cupcakes sold, not just adding both quantities together."
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,Sara has 12 apples and she gives 5 apples to her friend. How many apples does Sara have now?,"Student mistakenly adds the 5 apples instead of subtracting, resulting in 17 apples"
K1,Numbers and Operations,Word problems within 20,Misinterpretation of Keywords,Tom has 12 apples. He gives 5 apples to his friend. How many apples does Tom have now?,"The student mistakenly adds 5 to 12 instead of subtracting, thinking Tom now has 17 apples instead of the correct answer 7."
K1,Numbers and Operations,Word problems within 20,Interpreting the problem,Sofia had 15 candies and she received 5 more candies from her friend. How many candies does she have now?,"Students often forget to add the additional candies received from the friend to the initial amount, resulting in an incorrect answer."
K1,Numbers and Operations,Word problems within 20,Difficulty understanding the concept of addition,Tom has 7 apples and Mary gives him 5 more apples. How many apples does Tom have now?,I don't know how to add the numbers together
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,Sara had 12 apples and gave 5 to her friend. How many apples does Sara have now?,The student might mistakenly add the number of apples Sara gave away instead of subtracting it from the total she had.
K1,Numbers and Operations,Word problems within 20,Misunderstanding of the question,Samantha had 14 apples and she gave 6 apples to her friend. How many apples does she have now?,"Some students forget to subtract the apples Samantha gave to her friend, leading to the wrong answer of 20 apples instead of the correct answer of 8 apples."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,Maria has 14 apples and she gives 6 apples to her friend. How many apples does Maria have left?,Student mistakenly adds the number of apples Maria gave away (6) to the total number she had instead of subtracting.
K1,Numbers and Operations,Word problems within 20,Difficulty understanding the concept of addition within 20,Tommy had 8 marbles and his friend gave him 6 more marbles. How many marbles does Tommy have now?,"I added 8 and 6 together and got 14, but the answer should be 8+6=14, so Tommy now has 14 marbles."
K1,Numbers and Operations,Word problems within 20,Misunderstanding of operation,Sara had 12 pencils and she gave 5 pencils to her friend. How many pencils does Sara have now?,"Many students mistakenly add the numbers (12 + 5) instead of subtracting. It's important to recognize that Sara gave away pencils, so we need to subtract 5 from 12 to find how many pencils she has left."
K1,Numbers and Operations,Word problems within 20,Addition and Subtraction Word Problem,Jane had 15 apples and she gave 8 apples to her friend. How many apples does Jane have now?,Some students mistakenly subtract instead of adding 15 + 8 and get the answer as 7 apples instead of 23 apples.
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,John had 10 apples and he bought 5 more. How many apples does John have now?,"The student mistakenly subtracted 5 from 10 instead of adding, and answered '5' instead of the correct answer '15'."
K1,Numbers and Operations,Word problems within 20,Misunderstanding of key words,Beth has 10 apples. She gives 4 apples to her friend. How many apples does Beth have now?,"Student may incorrectly subtract 4 from 10 instead of realizing that by giving away apples, Beth now has less."
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,Sarah has 15 apples and she buys 10 more apples. How many apples does Sarah have in total?,Students might add 15 and 10 instead of realizing that Sarah already had 15 apples to start with before buying 10 more.
K1,Numbers and Operations,Word problems within 20,Word problems within 20 in Numbers and Operations,Tom had 10 toys and his friend gave him 6 more toys. How many toys does Tom have now?,"I added 10 and 6 and got 16, but the answer should be 16 because Tom had 10 toys and then got 6 more so the total should be 10 + 6 = 16."
K1,Numbers and Operations,Word problems within 20,Misinterpreting the operation,Sarah had 15 apples and gave 7 to her friend. How many apples does she have now?,Student might mistakenly subtract 15 - 7 instead of correctly subtracting 15 - 7 to get the number of apples she has left.
K1,Numbers and Operations,Word problems within 20,Misunderstanding the question,Tom had 15 apples and he gave 6 apples to his friend. How many apples does Tom have now?,"The student might mistakenly subtract 15 - 6 because they interpreted 'gave' as meaning Tom no longer has those apples. So they might incorrectly answer 9 instead of 15 - 6 = 9 apples, which represents what Tom has left after giving some away."
K1,Numbers and Operations,Word problems within 20,Addition and Subtraction Word Problem,Emma had 14 marbles and she received 6 more marbles from her friend. How many marbles does Emma have now?,Student may add 14 and 6 incorrectly by getting answer 20 instead of 20 marbles in total.
K1,Numbers and Operations,Word problems within 20,Misinterpreting the operation,Sara had 13 apples and she bought 6 more apples. How many apples does Sara have now?,The student mistakenly subtracted instead of adding because they misinterpreted the action of 'bought'.
K1,Numbers and Operations,Word problems within 20,Addition word problem,Sara had 8 apples and her friend gave her 5 more apples. How many apples does Sara have now?,The student mistakenly added 8 and 5 as 85 instead of 13.
K1,Numbers and Operations,Word problems within 20,Misinterpreting operation,"There are 12 students on a bus. 5 students got off the bus at the first stop, and then 3 students got on at the second stop. How many students are on the bus now?",Students often mistakenly add the students who got off and got on the bus instead of correctly subtracting the students who got off from the total number of students.
K1,Numbers and Operations,Word problems within 20,Addition and Subtraction,Tom had 14 apples. He gave 8 apples to his friend. How many apples does Tom have now?,Students often mistakenly subtract 8 from 14 instead of subtracting it from the total sum.
K1,Numbers and Operations,Word problems within 20,Addition word problem,John had 8 apples and he bought 5 more. How many apples does John have now?,"The student adds 8 and 5 to get 13, thinking that's the total number of apples John has now."
K1,Numbers and Operations,Word problems within 20,Difficulty in understanding the concept of addition within 20,Tom has 8 apples and Jane gives him 5 more apples. How many apples does Tom have now?,"I added 8 and 5 and got 13, but the answer is wrong. I forgot to count the total number of apples Tom has after Jane gave him more."
K1,Numbers and Operations,Word problems within 20,Misunderstanding of the problem,Sara has 15 marbles and her friend gives her 5 more marbles. How many marbles does Sara have now?,"Students often forget to add the initial number of marbles Sara had (15) to the additional 5 marbles given by her friend, leading to an incorrect answer of just 5 marbles."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,Sara had 14 crayons and Jane gave her 6 more crayons. How many crayons does Sara have now?,"Students often forget to add the number of crayons Sara already had (14) to the additional crayons given by Jane (6), and only calculate the additional crayons."
K1,Numbers and Operations,Word problems within 20,Confusion with addition and subtraction,Sara had 12 apples. She gave 5 apples to her friend. How many apples does she have now?,"Some students mistakenly subtract instead of adding, and get 12 - 5 = 7, which is incorrect. Remember to add the number of apples she gave away to find how many she has left."
K1,Numbers and Operations,Word problems within 20,Translating words into numbers,Billy had 7 toy cars. He got 5 more toy cars from his friend. How many toy cars does Billy have now?,"I added 7 and 5 to get 12, but forgot to include the toy cars Billy already had. The correct answer is 12 + 7 = 19 toy cars."
K1,Numbers and Operations,Word problems within 20,Addition and Subtraction within 20,Sara had 10 apples and her friend gave her 5 more apples. How many apples does Sara have now?,"Student adds 10 and 5 to get 15, but forgets to indicate that Sara now has a total of 15 apples."
K1,Numbers and Operations,Word problems within 20,Word Problem,Tom has 10 candies. He gave 4 candies to his friend. How many candies does Tom have now?,Student mistakenly adds 10 and 4 instead of subtracting them to find the correct answer.
K1,Numbers and Operations,Word problems within 20,Difficulty understanding the concept of addition,Alex has 10 toys and his friend gives him 5 more toys. How many toys does Alex have now?,"I added 10 and 5 and got 15, but I forgot to put 'toys' at the end of my answer, so it should be 15 toys."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,Liam has 7 apples and he gives 3 apples to his friend. How many apples does Liam have now?,Student may mistakenly subtract 3 from 7 instead of realizing that Liam still has some apples left after giving 3 to his friend.
K1,Numbers and Operations,Word problems within 20,Misinterpreting the operation,Sally had 12 marbles and her friend gave her 8 more. How many marbles does Sally have now?,"Student subtracted 12 - 8 instead of adding, and got the answer 4."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of units,John has 15 apples and he eats 8 of them. How many apples does John have now?,Students may mistakenly subtract 8 from 15 and get the answer as 7 apples instead of realizing that John still has 7 apples left after eating the 8.
K1,Numbers and Operations,Word problems within 20,Confusion between addition and subtraction,Timmy has 10 apples. He gave 5 apples to his friend. How many apples does Timmy have now?,The student may add the numbers together (10 + 5) instead of subtracting (10 - 5).
K1,Numbers and Operations,Word problems within 20,Difficulty understanding the concept of addition within 20,Sara had 8 apples and she bought 5 more apples. How many apples does Sara have now?,The student thought Sara has 13 apples in total by adding 8 and 5 separately instead of combining them.
K1,Numbers and Operations,Word problems within 20,Addition Word Problem,There are 10 apples in one basket and 8 apples in another basket. How many apples are there in total?,The student counted the apples in the two baskets separately instead of adding them together.
K1,Numbers and Operations,Word problems within 20,Misunderstanding of key words,Tom had 10 marbles and his friend gave him 5 more marbles. How many marbles does Tom have now?,"The student might mistakenly subtract 10-5 instead of adding them together, resulting in the incorrect answer of 5."
K1,Numbers and Operations,Word problems within 20,Understanding the concept of addition within 20,Sara had 12 candies and her friend gave her 5 more. How many candies does Sara have now?,"Student added 12 and 5 to get 17 candies instead of the correct answer, which is 17."
K1,Numbers and Operations,Word problems within 20,Difficulty identifying quantities in the problem,John has 12 apples and Mary gave him 5 more apples. How many apples does John have now?,"Student might add 12 and 5 instead of realizing that Mary gave John 5 more apples, resulting in a total of 17 apples."
K1,Numbers and Operations,Word problems within 20,Misunderstanding the question,Sara has 12 apples and she gives 5 apples to her friend. How many apples does Sara have now?,Students often subtract 5 from 12 instead of subtracting 5 from the remaining apples after giving away 5.
K1,Numbers and Operations,Word problems within 20,Misinterpreting the operation,Jane had 12 cookies. She ate 7 cookies. How many cookies does Jane have now?,The student might mistakenly add 12 and 7 together instead of subtracting 7 from 12 to find the remaining cookies.
K1,Numbers and Operations,Word problems within 20,Misunderstanding of subtraction,"There are 15 apples. If you give away 7 apples, how many apples do you have left?",Student subtracted 7 from 15 and got 8 instead of correctly subtracting to get 15 - 7 = 8 apples left.
K1,Numbers and Operations,Word problems within 20,Understanding the operation,There are 12 apples and 8 bananas in a fruit basket. How many pieces of fruit are there in total?,"Some students add 12 and 8 to get 20, thinking that is the total number of fruit. They forget to consider that each apple and banana counts as one piece of fruit."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of 'more than' or 'less than',Sally has 15 apples. She eats 7 of them. How many apples does she have left?,"Students may incorrectly subtract 15-7 and get an answer of 8, forgetting that she ate the apples and should have 15-7=8 apples left."
K1,Numbers and Operations,Word problems within 20,Addition and subtraction word problem,Mary bought 8 apples and then gave 3 apples to her friend. How many apples does Mary have now?,Many students mistakenly subtract instead of adding the number of apples Mary has left after giving some away.
K1,Numbers and Operations,Word problems within 20,Addition and Subtraction,Sally had 14 apples. She gave 6 apples to her friend. How many apples does Sally have now?,Many students mistakenly add the initial number of apples (14) and the number of apples given away (6) instead of correctly subtracting 6 from 14 to find the remaining apples.
K1,Numbers and Operations,Word problems within 20,Addition and Subtraction Word Problem,Sally had 14 apples and she gave 6 apples to her friend. How many apples does she have left?,Students often forget to subtract the apples given to the friend from the total number of apples Sally had.
K1,Numbers and Operations,Word problems within 20,Addition and Subtraction within 20 Word Problem,Nina had 14 marbles. She gave 9 marbles to her friend. How many marbles does Nina have now?,"Students often forget to subtract 9 from 14, they might mistakenly add them instead."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,There are 9 apples on the table. Sarah gives 4 apples to her friend. How many apples are left on the table?,The student adds 9 + 4 instead of properly subtracting 9 - 4 to find the remaining apples.
K1,Numbers and Operations,Word problems within 20,Interpreting Word Problems,"Samantha had 12 marbles, and she gave 5 marbles to her friend. How many marbles does Samantha have now?",Students often forget to subtract the number of marbles given away from the total number of marbles Samantha originally had.
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,Jenny has 12 apples. She eats 5 apples. How many apples does she have now?,"Student may add 12 + 5 instead of subtracting, and incorrectly answer that Jenny has 17 apples."
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,Sam had 15 candies and he gave 6 candies to his friend. How many candies does Sam have now?,Student might add 15 and 6 instead of subtracting 6 from 15 because they did not recognize that Sam gave away the candies.
K1,Numbers and Operations,Word problems within 20,Addition and subtraction,Jamie had 14 marbles and she found 6 more marbles. How many marbles does Jamie have in total?,Many students mistakenly subtract instead of adding the additional marbles to the total count.
K1,Numbers and Operations,Word problems within 20,Addition Word Problem,Sara had 12 candies. She found 8 more candies. How many candies does Sara have now?,"The student counted 12 candies but forgot to add the additional 8 candies, giving the answer as 12 instead of 20."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of operation,There are 15 apples in a basket. John picks 6 apples. How many apples are left in the basket?,"Students often add the numbers instead of subtracting, and get the answer as 21 instead of 9."
K1,Numbers and Operations,Word problems within 20,Misunderstanding the question,Sally has 10 apples and she gives 4 apples to her friend. How many apples does Sally have left?,"Student subtracted 4 from 10 to get 6, thinking this is how many apples Sally has left, instead of subtracting it from the original total."
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,A store had 15 customers on Monday and 12 customers on Tuesday. How many customers were there in total?,"Student adds 15 and 12 to get 27 customers, instead of adding them to get 27 customers in total."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the problem,"There are 12 students in a classroom. If 5 students leave, how many students are left in the classroom?",Students often subtract 5 from 12 instead of subtracting 5 from the total number of students in the classroom.
K1,Numbers and Operations,Word problems within 20,Addition word problem,Sara had 12 apples. She bought 8 more apples. How many apples does Sara have now?,Students often forget to add the total number of apples Sara had with the additional apples she bought.
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,Jane has 12 apples and Tom gives her 8 more apples. How many apples does Jane have in total?,Student may mistakenly subtract instead of adding because they misinterpret 'gives her 8 more apples' as taking away from her total.
K1,Numbers and Operations,Word problems within 20,Difficulty in understanding addition concept,"Tom had 8 candies, and his friend gave him 5 more candies. How many candies does Tom have now?",Student counts the initial candies (8) and the added candies (5) separately instead of adding them together.
K1,Numbers and Operations,Word problems within 20,Comparison Word Problem,Michael has 15 candies and Jenny has 9 candies. How many more candies does Michael have than Jenny?,"Students often incorrectly subtract the smaller number from the larger number, giving an answer of 6 instead of the correct answer of 6 candies."
K1,Numbers and Operations,Word problems within 20,Addition word problem,Sara had 8 apples. She went to the store and bought 5 more apples. How many apples does Sara have now?,The student counts the total as 13 instead of correctly adding 8 + 5 to get 13 apples.
K1,Numbers and Operations,Word problems within 20,Understanding addition within 20,Sara has 12 apples and her friend gave her 5 more apples. How many apples does Sara have now?,"I added 12 and 5 to get 17, but forgot to count the total number of apples Sara will have."
K1,Numbers and Operations,Word problems within 20,Misinterpreting the operation,Sally had 12 apples and she gave 8 apples to her friend. How many apples does she have left?,"Student adds 12 and 8 instead of subtracting, and gets the answer as 20 instead of 4."
K1,Numbers and Operations,Word problems within 20,Confusion with addition and subtraction,Maria had 15 apples and she bought 8 more. How many apples does Maria have now?,"Students may mistakenly subtract 15 - 8 instead of adding, resulting in the incorrect answer of 7 apples."
K1,Numbers and Operations,Word problems within 20,Misinterpreting the question,Sara had 12 apples and she gave 7 apples to her friend. How many apples does Sara have left?,"Students often mistakenly subtract 7 from 12 instead of recognizing that she gave 7 apples away, so they say Sara has 5 apples left."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of key words,Mary had 15 apples and gave 7 apples to her friend. How many apples does Mary have now?,"Students often add the numbers together instead of subtracting, thinking that 'gave' means to combine."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,A fruit vendor sold 15 apples and 8 bananas. How many fruits did he sell in total?,Students often mistakenly add the numbers instead of counting the total number of fruits. It is important to pay attention to the wording of the question and not just perform the operations automatically.
K1,Numbers and Operations,Word problems within 20,Misunderstanding of key words,"There are 12 apples on the table. If Sara eats 8 of them, how many apples are left on the table?","Students tend to add 12 and 8 instead of subtracting, as they see 'eats' and think of putting things together instead of taking away."
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,John had 10 apples and he gave 5 apples to his friend. How many apples does John have now?,Students mistakenly add 5 and 10 instead of subtracting 5 from 10 to get the correct answer of 5 apples.
K1,Numbers and Operations,Word problems within 20,Misinterpretation of the question,Sara has 14 apples and Tom gives her 5 more apples. How many apples does Sara have now?,Student adds 14 and 5 to get 19 apples instead of realizing that Tom gave 5 more apples to Sara.
K1,Numbers and Operations,Word problems within 20,Missing comprehension of quantities,Mary has 12 apples and her friend Anne gave her 5 more apples. How many apples does Mary have now?,The student may add 12 and 5 together instead of adding 5 apples to the 12 Mary already has.
K5,Measurement,convert measurements between different types of units (metric and customary),Converting between metric and customary units,Convert 5 feet to meters.,"Students often forget the conversion factor or use the wrong conversion direction, leading to incorrect answers."
K5,Measurement,convert measurements between different types of units (metric and customary),Converting between metric and customary units,"Tom is planning a road trip from New York to Los Angeles, which is approximately 2,800 miles away. If he wants to track his progress in kilometers, how many kilometers is the distance from New York to Los Angeles? (1 mile is approximately 1.6 kilometers)","One common mistake students make is forgetting to multiply the given distance by the conversion factor (1 mile is approximately 1.6 kilometers) to convert miles to kilometers. Students may instead divide or use the wrong conversion factor, leading to an incorrect answer."
K5,Measurement,convert measurements between different types of units (metric and customary),Converting units,Convert 2.5 kilometers to inches.,Students often forget to first convert from kilometers to meters before converting to inches. They may mistakenly multiply 2.5 by 39.37 (the number of inches in a meter) instead of converting kilometers to meters first.
K5,Measurement,convert measurements between different types of units (metric and customary),Conversion between metric and customary units,Convert 2 feet to centimeters.,"I think 2 feet is equal to 200 centimeters because I thought 1 foot is 100 centimeters, but actually 1 foot is equal to 30.48 centimeters."
K5,Measurement,convert measurements between different types of units (metric and customary),Converting measurements between metric and customary units,Convert 2 feet to centimeters.,"I divided by 100 to convert because I thought centimeters and meters are the same. But feet is a customary unit, not metric."
K5,Measurement,convert measurements between different types of units (metric and customary),Converting measurements between metric and customary units,Convert 2 feet into centimeters.,"I don't know how many centimeters are in a foot, so I can't do the conversion."
K5,Measurement,convert measurements between different types of units (metric and customary),Converting units of measurement,Convert 2 feet to inches.,I converted 2 feet to 24 inches instead of the correct answer of 24 inches. I forgot that 1 foot is equal to 12 inches.
K5,Measurement,convert measurements between different types of units (metric and customary),Converting units of measurement,Convert 3 feet to centimeters.,"Students often forget to multiply by the conversion factor of 30. So they might incorrectly think that 3 feet is equal to 90 centimeters, instead of the correct answer of 91.44 centimeters."
K5,Measurement,convert measurements between different types of units (metric and customary),Conversion between metric and customary units,Convert 2 feet to centimeters.,"The student mistakenly thought that 1 foot is equal to 100 centimeters, instead of 1 foot being approximately equal to 30.48 centimeters."
K5,Measurement,convert measurements between different types of units (metric and customary),Converting between metric and customary units,Convert 3 feet to centimeters.,I converted 3 feet to 300 centimeters instead of multiplying by the conversion factor 30. The mistake was not correctly applying the conversion factor between feet and centimeters.
