Grade,Topic,Sub-topic,Challenge Type,Problem,Student Mistake Prompt
K2,Geometry,parts of a whole,Conceptual,What is 2/3 of 12?,Multiplying 2/3 by 12 instead of multiplying the parts by the whole.
K2,Geometry,parts of a whole,Conceptual,"If you have 2/3 of a cake, how much cake is left?",Misunderstanding that 2/3 does not represent the whole cake.
K2,Geometry,parts of a whole,Conceptual,What is 1/3 in a pizza divided into 6 slices?,Thinking each slice is smaller when divided.
K2,Geometry,parts of a whole,Proportional Reasoning,"If a quantity is 20% of the whole, what percent is the complementary part?",student treats parts as absolute values instead of parts of a whole
K2,Geometry,parts of a whole,Fraction as a Ratio,A line segment is cut into two equal parts. What is the ratio of the lengths of the parts?,Student confuses the whole segment with the parts.
K2,Geometry,parts of a whole,Fractions - Parts of a Whole,"In a rectangle divided into 5 equal parts, what fraction is shaded if 2 parts are shaded?",Misinterpreting the total number of parts as the denominator.
K2,Geometry,parts of a whole,Multi-step Problem,"If 3/5 of a shape is shaded and the rest is divided in half, what fraction is unshaded?","When adding 3/5 and 1/2 to get unshaded, learning to draw a clear model would be helpful."
K2,Geometry,parts of a whole,Fractions: Parts of a Whole,"If you have 1/3 of a pizza and eat 1/4 of that, how much have you eaten?",Student may add the fractions as 1/3 + 1/4 = 4/12 instead of 7/12.
K2,Geometry,parts of a whole,Misinterpretation,"If a circle is divided into 12 equal parts, what fraction is 4 parts?",#ERROR in understanding how many parts out of 12 are in 4 parts
K2,Geometry,parts of a whole,Conceptual Error,"If 3/4 of an hour is used, how much time is left from 1 hour?",Student thinks 3/4 indicates a physical quantity rather than a fraction.
K2,Geometry,parts of a whole,Fractions,"If a pizza is cut into 8 equal slices and 4 slices are eaten, what fraction represents the slices left?",4/8 instead of 1/2
K2,Geometry,parts of a whole,Conceptual,"If 2 out of 5 students like chocolate, what is the fraction?",Thinking 2 is the denominator.
K2,Geometry,parts of a whole,Fractions,"If you eat 3/4 of a pizza, what fraction of the pizza is left?","3/4 represents what you ate, not what's left."
K2,Geometry,parts of a whole,Language Barrier,What is 1/3 + 2/5?,Student adds the numerators and denominators without common denominators.
K2,Geometry,parts of a whole,Proportional Reasoning,"If 3/8 of the class are boys, how many of the 24 students are girls?",Misinterpreting unit fractions as part-whole fractions.
K2,Geometry,parts of a whole,Fractions,"If a car travels 3/4 of a mile on a 1-mile track, what fraction of the track does the car travel?",the car travels 3/4 miles
K2,Geometry,parts of a whole,Parts of a Whole,What is 5/10 when reduced to simplest form?,Multiplying both parts by 2 to get 10/20.
K2,Geometry,parts of a whole,Fractional Parts,"If a shape is divided into 5 equal parts, how many parts are shaded if 2 parts are shaded?",Students often count the total number of parts instead of just the shaded parts.
K2,Geometry,parts of a whole,Conceptual Error,"If a pizza is cut into 4 equal slices, what fraction is each slice?",mistaking 1/4 for 4/4
K2,Geometry,parts of a whole,Conceptual,"If you eat 1/4 of an apple and then 1/2, how much did you eat?",<student's mistake>
K2,Geometry,parts of a whole,Fractional Overlap,"If two circles have an area of 50π sq units each, what is the overlapped area?",The mistake occurs when assuming the overlapped region is as large as a whole circle.
K2,Geometry,parts of a whole,Conceptual,What is 1/3 of a pizza?,Finding 3 pieces instead of 1/3.
K2,Geometry,parts of a whole,Proportions,"If 2/5 of a shape is shaded, what fraction is unshaded if any?",Modifying shaded portions as equivalent to unshaded.
K2,Geometry,parts of a whole,Fractions: Part of a Whole,"If you eat 2/3 of a pizza, how much is left if 1/6 was already eaten?",Confusing the part already eaten with the new part to be eaten.
K2,Geometry,parts of a whole,Conceptual Error,"If a square is divided into 4 equal parts, what fraction is each part?",mistaking 1/4 as 4/4
K2,Geometry,parts of a whole,Conceptual Error,"If you divide a pizza into 4 slices, what fraction is each slice?",#ERROR!
K2,Geometry,parts of a whole,Fractions of a whole,What is 1/3 + 1/4?,Confusing the operation as 'times' instead of 'plus'.
K2,Geometry,parts of a whole,Conceptual,Differentiate between 1/2 and 2/3 of a shape.,Confusing parts as equal.
K2,Geometry,parts of a whole,Fractions of a whole,"If a rope is cut into 4 equal pieces, what fraction is each piece?",1/4 + 1/4 = 2/8
K2,Geometry,parts of a whole,Fractions,"If you ate 1/3 of a cake, what fraction of the cake is left?",Switching between 1/3 and 2/3 thinking about eating and what's left.
K2,Geometry,parts of a whole,Fractions: Parts of a Whole,"If you eat 1/4 of a cake, how much is left?",<student's mistake>
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If you eat 1/3 of a cake and your friend eats 1/2, how much is left?","# ERROR: Challenge_type should be Relationships and Proportional Reasoning,Mistake is student's interpretation error. #"
K3,Numbers and Operations,fractions as parts of a whole,Visual Fraction Representation,Identify the fraction in the shaded area of the whole circle.,Misinterpreting the shaded area as a larger/smaller fraction.
K3,Numbers and Operations,fractions as parts of a whole,Misconception,Explain if 0/3 and 0/5 are the same?,"Student may wrongly assume since the numerator is 0, the two fractions are equal."
K3,Numbers and Operations,fractions as parts of a whole,Fractions: Parts of a Whole,What is the fraction when the pizza is divided into 8 equal slices and 3 are taken?,Seeing 3/8 as 3 separate pieces rather than 3 parts of 8.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If a team scores 5 out of 10 goals, what fraction represents the score?","Score is 5/10, not 1/2, assuming 5 and 10 are stand-alone values."
K3,Numbers and Operations,fractions as parts of a whole,Fractions vs. Decimals,0.7 as a fraction,Student writes 7/10 as 7/
K3,Numbers and Operations,fractions as parts of a whole,Conceptual Error,"If a cake is divided into 4 equal parts, what fraction of the cake is each part?",Equating the number of parts with the value of the fraction.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If half a movie is 45 minutes, how long is the whole movie?",$45 times 1/2 = 90$
K3,Numbers and Operations,fractions as parts of a whole,Conceptual Error,"If you shade 2/4 parts of a rectangle, what does it mean?",Student thinks it means 2 out of 4 rectangles are shaded.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Partition this shape into halves.,Ignoring the lines and thinking the whole is one piece.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If 4/5 of a group are boys, how many boys are there if there are 20 students?",Student multiplies 4 * 20 instead of 4 * 5.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual Error,"If you have 1/4 of a pizza, how many pieces is that?",Adding the number of pieces instead of recognizing the size of each piece.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual Error,What does 1/3 of a pie mean?,Assuming the pie has slices before finding the quantity.
K3,Numbers and Operations,fractions as parts of a whole,Practice with Area,Calculate 2 1/2 * 2 1/4 as mixed numbers.,Mixing addition with multiplication: (2+2) 1/2 * 1/4
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,Is 3/9 equal to 1/3?,Considering 3/9 and 1/3 as different fractions.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,What is 1/2 + 1/4?,<supposing 1/2 means something worse than 1/4>
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If you ate 3/8 of a pizza and have 1/2 left, what fraction have you eaten?",Mixing up parts eaten and parts left
K3,Numbers and Operations,fractions as parts of a whole,Fraction as Part of a Whole,"In a week, what fraction of the time is the weekend?",Mixing up the parts and treating the weekend as the whole.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If you use 1/3 cup of sugar for a recipe, how many 1/8 cups is that?",Student may add instead of multiplying 1/3 and 8.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If you have 2/3 of a pie, how many pies do you have?",2/3 + 1 = 3/3
K3,Numbers and Operations,fractions as parts of a whole,Language Barrier,Which is the more precise term: 'two fifths' or 'hundreds'?,Misunderstanding the concept of precision as related to naming fractions.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual Error,"If you eat 3/8 of a pizza, how much is left?",Assuming a fraction means a specific amount.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,Divide the rectangle into 5 equal parts and shade 3 parts. Write the corresponding fraction.,student's mistake
K3,Numbers and Operations,fractions as parts of a whole,Fraction as Part of a Whole,"If there are 7 red balls out of 10, what fraction is red?",Mixing up red and non-red values in the fraction.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If Anna eats 1/4 of a cake, what fraction of the cake is left in terms of wholes?",Cause of Error
K3,Numbers and Operations,fractions as parts of a whole,Fractions: Part of a Whole,Represent 1/2 using blocks.,Confusing 1/2 for 2/1.
K3,Numbers and Operations,fractions as parts of a whole,Equal Parts of a Whole,"If a rope is cut into 1/3 parts, how many equal parts are there?",<student's mistake>
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Which is larger: 1/2 or 1/4?,"Considering the number 4 is bigger than 2, so 1/4 must be larger than 1/2."
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If 1/3 of a pizza is left and you eat 2/3 of what's remaining, how much did you eat from the whole pizza?",eating from the remaining instead of the whole
K3,Numbers and Operations,fractions as parts of a whole,Area Calculation,Calculate 2/3 of a rectangular plot with area 1800 sq ft.,Assuming 2/3 represents length and width equally without reason.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations: Fractions as Parts of a Whole,"If a baker has 3/4 cup of sugar and uses 2/3 of it to make a cake, how much sugar is left?",Not simplifying 2/3 before subtraction.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,How many u00be are there in u00bc?,Interpreting the question as addition instead of division.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,"If you have a pizza cut into 4 equal slices, how many slices make the whole pizza?",The slices get bigger if fewer are used.
K3,Numbers and Operations,fractions as parts of a whole,Misconception,"If Sam eats 3/4 of a pizza, how much is left?",Assuming 3/4 includes more than a whole pizza.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If 2/5 of a cake is chocolate and the rest is vanilla, what fraction is vanilla?",Adding 2/5 + 3/5 to get 5/10 instead of 1.
K3,Numbers and Operations,fractions as parts of a whole,Fraction Addition,"If you have 1/3 of a pizza and get 1/4 more, how much pizza do you have?",Thinking you have 1/7 instead of 7/12
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,What is 1/4 of a pizza when 1/3 is eaten?,Assuming 1/4 is remaining without considering the 1/3 already eaten.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If a recipe needs 1/2 cup of sugar and you have 3/4 cup, how many more cups do you have?",Misinterpreting the question as a need for a fraction result rather than a whole number.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,"If a length is divided into 1/3 parts, how many parts are there in total if we combine them?",Confusing parts with length measurement.
K3,Numbers and Operations,fractions as parts of a whole,Misinterpretation,Is 1/3 larger than 1/4?,"Considering 1 as the number of parts, instead of 3 or 4 as the denominators."
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What does 1/2 mean?,It's just always 1 out of 2.
K3,Numbers and Operations,fractions as parts of a whole,Fractions as Parts of a Whole,"If 4/7 of a group are boys, how many are girls?",Thinking that 4/7 must represent girls instead of boys.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Explain what 1/2 means in terms of parts of a whole.,Thinking that 1/2 is only related to pizza slices.
K3,Numbers and Operations,fractions as parts of a whole,Parts of a Whole,There are 4⁄8 students in a class. What fraction is this as part of the class?,A student confuses 4⁄8 with 1⁄2 instead of 4⁄8 as four-eighths.
K3,Numbers and Operations,fractions as parts of a whole,Arithmetic Error,"If a pie is divided into 4 equal parts and we take 2 parts, what fraction is that?",Not recognizing the relationship when parts are taken rather than given.
K3,Numbers and Operations,fractions as parts of a whole,Language Barrier,"If an object spilts into 3 equal parts, what is each part called?",Confusing 'each part' with 'the whole'
K3,Numbers and Operations,fractions as parts of a whole,Fraction Addition,Add 1/3 + 1/4.,1/3 + 1/4 = 2/7
K3,Numbers and Operations,fractions as parts of a whole,Fractions: Parts of a Whole,What is 2/4 of this rectangle shaded?,"2/4 is just half, not two separate sections of four."
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,"If 3 out of 4 students prefer apples, what does 3/4 represent in this scenario?",Assuming 3/4 represents the total number of students.
K3,Numbers and Operations,fractions as parts of a whole,Fractions - Parts of a Whole,"If you eat 1/3 of a pizza, what fraction of the pizza is left?",Thinking 1/3 is bigger than the remaining pizza.
K3,Numbers and Operations,fractions as parts of a whole,Decomposing Fractions,"If you buy 2/3 pound of apples and eat 1/4 pound, how much is left?",#ERROR in calculator: 2/3 - 1/4 = 5/12
K3,Numbers and Operations,fractions as parts of a whole,Conceptual Error,What is 1/2 of a rectangle shaded?,Misunderstanding the meaning of 1/2 in the context of an image.
K3,Numbers and Operations,fractions as parts of a whole,Fractions as Parts of a Whole,What is 1/10 + 2/10?,Treating 1/10 and 2/10 as values instead of parts of ten.
K3,Numbers and Operations,fractions as parts of a whole,Part-Whole Error,Choose the correct fraction: 2/5 or 3/7?,Student confuses which fraction is part of the whole.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If a factory produces 7/8 of a batch of cookies, how much have they made?",Mixing up 7/8 as a whole number like 78.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If 1/3 of a pie is eaten, how much is left?",Mistaking the part-whole relationship.
K3,Numbers and Operations,fractions as parts of a whole,Language Barrier,"If you divide a pizza into 8 slices and eat 3, what fraction is eaten?",Confusing between numerator and denominator when writing the fraction.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual Error,What does 1/3 mean in a pie chart?,Student thinks it's a division problem.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Draw the fraction 1/2 on the given rectangle.,Not shading the correct 1/2 portion of the shape.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,What does a denominator represent in a fraction?,Student thinks the denominator shows the total number of parts.
K3,Numbers and Operations,fractions as parts of a whole,Others,Describe 2/4 in your own words.,Student may struggle to articulate the concept of equivalence in this context.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If a container is 1/3 full, how much of the container is empty?",Assuming the whole container is 3/3.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If a pizza is cut into eighths and you eat 3 slices, what fraction have you eaten?","Student assumes pizza is counted from 1 instead of 0, and calculates as 4/8 instead of 3/8."
K3,Numbers and Operations,fractions as parts of a whole,Parts of a Whole,"If a cake is divided into 8 equal parts and you eat 3 parts, what fraction of the cake did you eat?","3/8 means 3 parts of an 8 part piece, not 3/8 of the whole cake."
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,What is 75% of the total amount if 3/5 is used?,Mixing up percentage and fraction operations.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,Ella reads 2/3 of a book. What fraction of the book has Ella not read?,student thinks 1/3 instead of 1/3 as correct
K3,Numbers and Operations,fractions as parts of a whole,Fractions as Parts of a Whole,Show 5/3 on a number line.,It's okay to have 5/3 when counting whole numbers.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"In a group, 3/8 are teachers. If there are 24 people, how many are teachers?",Misreading the problem and adding instead of multiplying.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,What is 5/6 of a whole when represented as a fraction?,5/6 is misrepresented as 6/5.
K3,Numbers and Operations,fractions as parts of a whole,Part-Whole Fraction Error,"If John eats 3/8 of a pizza, how much is left?",Mixing up concept with 3 as a whole number instead of a fraction.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If you shade 1/4 of a shape, what fraction is left unshaded?",#NUM! error in subtracting 1/4 from 1
K3,Numbers and Operations,fractions as parts of a whole,Conceptual Error,What is 1/2 of an apple?,Student thinks one part of two apples.
K3,Numbers and Operations,fractions as parts of a whole,Fractions as Quotients,"If you ate 2/3 of a pizza every day for 6 days, what total fraction of pizza did you eat?",Student adds 2 and 3 to get 5 instead of multiplying.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If 1/3 of a cake is left and it weighs 2 kg, how much does the cake weigh?",Mistaking the whole weight or fraction amount.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual Error,"If you eat 1/3 of a pie, what fraction of the pie is left?",Mixing up whether the fraction is part of the whole pie or part that's eaten.
K3,Numbers and Operations,fractions as parts of a whole,Confusion,"If you eat 1/4 of a pizza, how much is left if you started with 1/1?",Multiplying 1 * 4 thinking it's a part of a whole.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,"If given 1/2 of an apple, how would you show it?",Mistaking 1/2 as a larger quantity.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,Use fractions to compare 1/3 and 2/5.,Mixing up comparing with adding or subtracting.
K3,Numbers and Operations,fractions as parts of a whole,Fraction as a Part of a Whole,What is the mistake in 1/4 viewed as 1/4?,Not understanding that 1/4 can represent different quantities in varying contexts.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,What is 1/3 of 12 represented as a mixed number?,Thinking 1/3 of 12 is 3 1/3.
K3,Numbers and Operations,fractions as parts of a whole,Process Misconception,What is 3/4 + 1/2?,"<br>3/4 is bigger than 1/2, so the answer must be 3/4.<br>"
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If a recipe needs 3/4 cup of sugar for 1 serving, how much for 3 servings?",Student adds 3/4 instead of multiplying.
K3,Numbers and Operations,fractions as parts of a whole,Proportional reasoning,"If it takes 3/4 hours to complete a task, how many tasks can be completed in 5 hours?",Assuming 3/4 hours is 3 divided by 4 actual hours and then multiplying by 5.
K3,Numbers and Operations,fractions as parts of a whole,Numbers and Operations,"If a pizza is divided into 8 slices and you eat 3, what fraction have you eaten?",eating 5/8 instead of 3/8
K3,Numbers and Operations,fractions as parts of a whole,Parts of a Whole,"If a rope is 8/10 used, what fraction represents the unused part?",Thinking 8/10 represents the unused part.
