Sample,Grade,Topic,Sub-topic,Challenge Type,Student Mistake
45,K2,Geometry,parts of a whole,Parts of a Whole,"When asked to divide a rectangle into equal parts, the student randomly draws lines that do not create equal sections, showing difficulty understanding the concept of equal partitioning"
46,K2,Geometry,parts of a whole,Spatial reasoning error,"The student confuses whole and part relationships, drawing a circle and dividing it randomly without understanding equal partitioning"
47,K2,Geometry,parts of a whole,Spatial reasoning error,The student confuses the whole with its parts and struggles to distinguish between individual shapes and their relationship to the total area
48,K2,Geometry,parts of a whole,Conceptual misunderstanding,"Confusing spatial parts with whole, potentially interpreting a shape's division as creating multiple separate objects instead of segments of a single entity"
49,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to divide a shape into equal parts, the student might create irregular or unequal sections instead of precise halves or quarters, demonstrating difficulty understanding geometric partition concepts"
50,K2,Geometry,parts of a whole,Conceptual misunderstanding,"Confusing total area with parts, drawing overlapping shapes that don't accurately represent fractions, or believing that unequal parts can still represent the same whole"
51,K2,Geometry,parts of a whole,Part-Whole Relationship Misunderstanding,"When asked to divide a shape into equal parts, the student might draw uneven sections or randomly split the shape without maintaining equal proportions"
52,K2,Geometry,parts of a whole,Part-Whole Reasoning,Incorrectly separating a shape into unequal segments and believing they still represent equal parts
53,K2,Geometry,parts of a whole,Spatial reasoning error,"When asked to divide a circle into equal parts, the student draws irregular, uneven segments instead of precise equal sections"
54,K2,Geometry,parts of a whole,Spatial reasoning difficulty,Incorrectly dividing a shape into unequal parts while believing they are equal
55,K2,Geometry,parts of a whole,Parts of a Whole Misconception,The student divides a shape into unequal parts and believes they are equivalent segments
56,K2,Geometry,parts of a whole,Parts of a Whole,"Drawing uneven segments when asked to divide a shape into equal parts, potentially showing difficulty distinguishing between equal and unequal divisions"
57,K2,Geometry,parts of a whole,Part-Whole Relationship Misunderstanding,"The student might draw separate shapes instead of understanding how parts relate to a whole, or count individual elements without recognizing their collective representation"
58,K2,Geometry,parts of a whole,Spatial reasoning error,"Confusing whole and part relationships, potentially drawing incorrect partitions when dividing a shape into equal or unequal segments"
59,K2,Geometry,parts of a whole,Fractional understanding,"When asked to divide a shape into equal parts, the student draws irregular, uneven segments instead of precise equal sections"
60,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to divide a shape into equal parts, the student randomly draws irregular lines instead of creating precise, equal-sized portions, showing difficulty understanding the concept of equal partitioning."
61,K2,Geometry,parts of a whole,Spatial reasoning difficulty,Confusing total area with number of parts when asked to divide a shape into equal sections
62,K2,Geometry,parts of a whole,Parts of a Whole,"When asked to divide a shape into equal parts, the student draws uneven segments, believing that 'equal' means simply breaking the shape into multiple pieces without ensuring precise, uniform proportions."
63,K2,Geometry,parts of a whole,Conceptual misunderstanding,"Confusing fraction parts with drawing incomplete or incorrect visual representations, potentially mixing up the numerator and denominator or drawing unequal sections when trying to represent fractions"
64,K2,Geometry,parts of a whole,Conceptual misunderstanding,"Confusing total area with individual parts, drawing all shapes as separate instead of understanding how they combine to form a whole"
65,K2,Geometry,parts of a whole,Spatial reasoning error,"When asked to divide a circle into equal parts, the student draws irregular, uneven sections instead of precise equal segments"
66,K2,Geometry,parts of a whole,Parts of a Whole,"When asked to divide a rectangle into equal parts, the student draws irregular, unequal sections instead of precise, uniform segments"
67,K2,Geometry,parts of a whole,Parts of a Whole,Confusing total area with counting individual shapes
68,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student may incorrectly divide a shape into unequal parts and struggle to recognize that equal parts are essential for understanding fractions or whole-to-part relationships
69,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to divide a shape into equal parts, the student randomly draws lines without ensuring equal size or consistent spacing, showing difficulty understanding the concept of equal partitioning."
70,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to divide a shape into equal parts, the student draws irregular, uneven sections instead of carefully creating precise equal segments"
71,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to divide a circle into equal parts, the student draws random lines that do not create equal sections, showing difficulty understanding geometric partitioning and proportional division"
72,K2,Geometry,parts of a whole,Spatial reasoning error,Drawing shapes with uneven edges or incorrectly counting segments when asked to represent a whole divided into equal parts
73,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to divide a circle into equal parts, the student draws random, uneven segments instead of carefully creating symmetrical sections, showing difficulty understanding the concept of equal partitioning."
74,K2,Geometry,parts of a whole,Spatial reasoning error,"Confusing visual representation with actual fraction division, drawing circles and cutting them unevenly while believing the segments represent equal parts"
75,K2,Geometry,parts of a whole,Spatial reasoning difficulty,"The student divides the shape into unequal parts, believing that any division creates equal fractions, without understanding proportional segments"
76,K2,Geometry,parts of a whole,Part-whole understanding,"Difficulty distinguishing between whole and part relationships, possibly mixing up visual segmentation with numeric representation"
77,K2,Geometry,parts of a whole,Spatial reasoning difficulty,Confusing overlapping shapes and incorrectly counting total parts
78,K2,Geometry,parts of a whole,Fraction comprehension,"Mistaking 'part' as a complete whole, instead of understanding it as a segment or portion of a total area or shape"
79,K2,Geometry,parts of a whole,Spatial reasoning difficulty,"Confusing the total number of parts with the whole object, drawing irregular shapes instead of equal partitions"
80,K2,Geometry,parts of a whole,Spatial reasoning difficulty,Struggling to distinguish between part and whole in a visual fraction representation
81,K2,Geometry,parts of a whole,Part-Whole Concept Misunderstanding,"The child draws the whole shape and then randomly divides it without understanding equal partitioning, potentially creating uneven or asymmetrical sections"
82,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student may draw a whole shape and randomly divide it without understanding the precise meaning of equal parts, potentially creating uneven segments and believing they represent fractions correctly."
83,K2,Geometry,parts of a whole,Part-Whole Conceptualization,"Confusing total area with individual shapes, drawing overlapping shapes without understanding fractional representation"
84,K2,Geometry,parts of a whole,Part-whole reasoning error,"When asked to divide a shape into equal parts, the student randomly draws lines without ensuring equal size or proportionality"
85,K2,Geometry,parts of a whole,Parts of a Whole,Drawing uneven circle sections and struggling to divide the whole into equal parts
86,K2,Geometry,parts of a whole,Spatial reasoning error,"When asked to divide a circle into equal parts, the student draws irregular, uneven sections instead of symmetrical wedges"
87,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student may confuse whole and part relationships, possibly drawing or dividing shapes incorrectly or mixing up fractions with unequal segments"
88,K2,Geometry,parts of a whole,Partial Understanding,"Unable to consistently differentiate between whole and partial sections when dividing a shape, potentially mixing visual segments with actual mathematical fractions"
89,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to identify how a whole shape can be divided into equal parts, the student draws irregular, uneven segments instead of maintaining consistent proportions, suggesting difficulty understanding the concept of equal partitioning."
90,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to divide a shape into equal parts, the student randomly cuts the shape into uneven sections instead of creating precise, equal segments, showing difficulty understanding the concept of partitioning."
91,K2,Geometry,parts of a whole,Part-Whole Relationship Understanding,"When shown a shape divided into parts, the student counts each section as a separate whole instead of recognizing them as parts of a single unified whole"
92,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to divide a shape into equal parts, the student randomly cuts or segments the shape without ensuring equal size or proportion, showing difficulty understanding the concept of fractions and equal partitioning."
93,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to divide a shape into equal parts, the student draws irregular, uneven sections instead of precise, equal-sized pieces, showing difficulty understanding the concept of 'equal parts'"
94,K2,Geometry,parts of a whole,Spatial reasoning,"Confuses individual parts with total whole, incorrectly separating shapes without understanding fraction concepts"
95,K2,Geometry,parts of a whole,Parts and Whole Visualization,"When asked to divide a circle into equal parts, the student draws irregular, uneven segments instead of precise equal sections, showing early spatial reasoning difficulty"
96,K2,Geometry,parts of a whole,Spatial reasoning error,"When asked to divide a shape into equal parts, the student draws uneven or irregular sections instead of precise equal segments"
97,K2,Geometry,parts of a whole,Partitioning misunderstanding,"The student might divide a shape into unequal parts and still believe they have created equal shares, showing difficulty comprehending equal partition concepts"
98,K2,Geometry,parts of a whole,Conceptual misunderstanding,"When asked to divide a shape into equal parts, the student draws uneven or randomly sized sections instead of carefully creating equal segments, showing difficulty understanding proportion and geometric division."
99,K2,Geometry,parts of a whole,Parts of a Whole - Spatial Reasoning,"Incorrectly divides a rectangular shape into unequal segments, showing difficulty distinguishing proportional and equal partitions"
100,K2,Geometry,parts of a whole,Spatial reasoning difficulty,"The student might draw irregular or uneven parts when asked to divide a shape into equal segments, showing limited understanding of proportional division"
1,K3,Numbers and Operations,fractions as parts of a whole,Fraction conceptualization,"Drawing unequal parts when asked to represent a fraction, showing incomplete understanding that fraction segments must be equal in size"
2,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"The student might draw the shape and color fractions randomly without understanding equal parts, potentially shading inconsistent sections or not dividing the whole into equal segments"
3,K3,Numbers and Operations,fractions as parts of a whole,Fraction Representation,Drawing an incorrect visual representation of fractions
4,K3,Numbers and Operations,fractions as parts of a whole,Conceptual fraction misunderstanding,Inability to recognize equal parts in a whole shape
5,K3,Numbers and Operations,fractions as parts of a whole,Fraction understanding,"The student draws a shape and divides it incorrectly, showing confusion between total parts and equal parts"
6,K3,Numbers and Operations,fractions as parts of a whole,Fraction conceptualization,Drawing unequal parts while believing they represent equal fractions
7,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Difficulty understanding equal parts of a whole
8,K3,Numbers and Operations,fractions as parts of a whole,Fraction misconception,Representing fractions as separate whole numbers instead of parts of a single whole
9,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Draws equal parts incorrectly or unevenly when asked to represent a fraction like 1/4 of a circle, showing difficulty distinguishing precise equal subdivisions"
10,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Drawing an uneven or inconsistent shading of a fraction shape, indicating incomplete understanding of equal parts"
11,K3,Numbers and Operations,fractions as parts of a whole,Fraction conceptualization,Misinterpreting part-whole relationship
12,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student divides the denominator instead of the whole when trying to understand fractions, showing incomplete comprehension of part-whole relationships"
13,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization,"Draws unequal parts when asked to represent a fraction, indicating difficulty understanding that fraction parts must be equal in size"
14,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Drawing unequal parts when asked to represent a fraction, showing difficulty understanding that fraction parts must be equal in size"
15,K3,Numbers and Operations,fractions as parts of a whole,Visual fraction representation,"The student draws unequal parts when asked to divide a shape into equal fractions, showing difficulty understanding that fraction segments must be identical in size"
16,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Drawing unequal parts when asked to shade 1/4 of a shape, creating segments of different sizes instead of ensuring equal partition"
17,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"The student draws the fraction rectangle without equal segments, showing uneven parts and not understanding that fraction parts must be precisely equal"
18,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization,"When asked to shade 1/4 of a circle, the student might shade 1 out of any 4 random sections instead of creating equal-sized parts first"
19,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"When asked to identify 2/3 of a pizza, the student might draw a pizza and split it into three parts, but then color only one part instead of two parts, showing confusion about the numerator and denominator's meaning"
20,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Drawing unequal parts when dividing a shape, indicating difficulty understanding that fractions require equal-sized segments"
21,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"The student draws uneven or inconsistent parts when representing a fraction like 1/4, showing difficulty distinguishing equal-sized sections of a whole"
22,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization,"Drawing unequal parts when asked to represent a fraction like 1/4, creating segments of different sizes instead of equal-sized sections"
23,K3,Numbers and Operations,fractions as parts of a whole,Fractional representation,Misinterpreting fraction parts by drawing unequal sections instead of equal parts
24,K3,Numbers and Operations,fractions as parts of a whole,Visual fraction representation,The student divides the shape unevenly and labels the parts as fractions without understanding equal partitioning
25,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"When asked to color 1/3 of a pizza, the student colors individual slices randomly instead of understanding that 1/3 means exactly one equal part out of three equally divided sections"
26,K3,Numbers and Operations,fractions as parts of a whole,Fraction conceptualization,Misinterpreting equal parts and whole representation
27,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization,Dividing a shape into unequal parts while claiming they represent equal fractional portions
28,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Drawing unequal parts when asked to divide a shape into equal fraction segments
29,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization,"Incorrectly identifying the denominator as the number of pieces shaded, instead of the total number of equal parts in the whole shape"
30,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student divides the number of parts by one whole, instead of understanding that a fraction represents a portion of the total"
31,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Drawing an incorrect visual representation of a fraction
32,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Incorrectly divides the whole into unequal parts, showing difficulty understanding that fraction parts must be equal in size"
33,K3,Numbers and Operations,fractions as parts of a whole,Fraction conceptualization,Representing parts of a whole by drawing disconnected shapes instead of understanding equal division
34,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Drawing an uneven shaded portion when asked to represent 1/4, showing difficulty distinguishing equal parts"
35,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Drawing unequal parts and labeling them incorrectly as equal fractions
36,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Drawing an unequal pie chart where fraction sections are not proportionally divided
37,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"When asked to identify 1/4 of a pizza, the student draws four equal sections but colors in just one section, showing understanding of division, but uncertain about representing the fraction as a specific portion of the whole"
38,K3,Numbers and Operations,fractions as parts of a whole,Fraction Comprehension,Counting each segment as a separate whole instead of understanding the fraction represents parts of a single whole
39,K3,Numbers and Operations,fractions as parts of a whole,Fraction conceptualization,"Drawing uneven or disconnected parts when asked to represent a fraction of a whole circle, indicating difficulty understanding equal partitioning"
40,K3,Numbers and Operations,fractions as parts of a whole,Visual fraction interpretation,The student shades an inconsistent number of parts instead of understanding equal division of the whole
41,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization,Drawing unequal parts when dividing a shape into fractional sections
42,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Drawing unequal parts when asked to represent a fraction, showing difficulty distinguishing between equal and unequal segments"
43,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"When asked to shade 1/4 of a square divided into four equal parts, the student randomly shades one section without considering equal area distribution"
44,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization,"When asked to shade 3/4 of a rectangle, the student shades 3 individual squares out of the total, instead of understanding that 3/4 means covering 3 out of 4 equal parts of the whole shape"
45,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"When asked to shade 1/4 of a circle, the student randomly shades 4 disconnected sections instead of understanding that 1/4 means one equal part out of four equal parts"
46,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student may struggle to visually divide a whole shape equally into fractional parts, potentially drawing uneven or inconsistent segments when asked to represent fractions like 1/2 or 1/4"
47,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"When asked to divide a shape into equal parts, the student draws uneven sections instead of precise equal segments, showing difficulty understanding fraction representation"
48,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"When asked to divide a circle into equal parts and shade a specific fraction, the student draws irregular, unequal segments instead of precise equal parts"
49,K3,Numbers and Operations,fractions as parts of a whole,Fractional Understanding,Drawing an uneven shaded portion that does not match the precise fraction requested
50,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Misinterpreting the whole into equal parts
51,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Drawing unequal parts when asked to divide a shape into equal fractional sections
52,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Misinterpreting the total whole and drawing unequal parts when asked to shade 1/4 of a shape
53,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Incorrectly dividing a shape into unequal parts and labeling them as equivalent fractions
54,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Drawing an unequal division of the whole and incorrectly labeling the parts as equivalent fractions
55,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Draws uneven fractional parts instead of equal segments when representing 1/4 of a shape
56,K3,Numbers and Operations,fractions as parts of a whole,Visual interpretation error,"When asked to shade 2/3 of a rectangle, the student might shade only 2 segments instead of understanding the proportional area, or shade random sections without considering equal partitioning"
57,K3,Numbers and Operations,fractions as parts of a whole,Fraction conceptualization,"Drawing unequal parts when asked to represent a fraction of a whole, showing difficulty understanding that fraction segments must be precisely equal"
58,K3,Numbers and Operations,fractions as parts of a whole,Fraction Understanding,Misinterpreting part-whole relationship
59,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"The student divides the shape unevenly and labels parts as equivalent fractions, showing difficulty distinguishing between equal and unequal fractional parts"
60,K3,Numbers and Operations,fractions as parts of a whole,Visual Representation Confusion,"When presented with a fraction like 1/4, the student might color or shade more or less than one-fourth of a geometric shape, showing difficulty in understanding proportional representation of fractional parts"
61,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Drawing unequal parts when asked to divide a shape into equal fractional sections
62,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"The student colors more or less than the intended fraction of a shape, demonstrating incomplete understanding of how fractions represent equal parts of a whole"
63,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization,"The student draws unequal parts when asked to divide a shape into fractional segments, suggesting difficulty understanding that fraction parts must be equal in size"
64,K3,Numbers and Operations,fractions as parts of a whole,Fractions understanding,Drawing the fraction incorrectly by not dividing the shape equally into parts
65,K3,Numbers and Operations,fractions as parts of a whole,Fraction comprehension,"The student draws the whole shape inaccurately, shading 3/4 incorrectly by dividing the shape unevenly or not maintaining equal parts"
66,K3,Numbers and Operations,fractions as parts of a whole,Fractional representation,The student draws the fraction shape incorrectly or divides the whole into unequal parts
67,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization error,"When asked to shade 2/3 of a rectangle, the student randomly shades 2 disconnected squares instead of understanding the continuous portion of the whole shape"
68,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Drawing unequal parts when asked to represent a fraction, suggesting difficulty understanding that fraction parts must be equal in size"
69,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Drawing a rectangle divided into unequal parts and labeling them as equivalent fractions
70,K3,Numbers and Operations,fractions as parts of a whole,Fraction comprehension,Confusing fraction parts with whole number counting
71,K3,Numbers and Operations,fractions as parts of a whole,Fraction comprehension,The student divides the total number of parts equally without understanding the whole object's representation
72,K3,Numbers and Operations,fractions as parts of a whole,Fraction Representation,"Drawing uneven segments when asked to divide a shape into equal parts, showing difficulty understanding that fraction parts must be exactly the same size"
73,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"When asked to identify 1/4 of a pizza, the student might color or divide the pizza unevenly, showing difficulty distinguishing equal parts. For example, they might divide the pizza into unequal sections or color random portions instead of ensuring precise quarter segments."
74,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Drawing unequal parts when asked to represent a fraction, showing difficulty understanding that fraction parts must be equal in size"
75,K3,Numbers and Operations,fractions as parts of a whole,Fraction conceptualization,Drawing unequal parts when asked to divide a shape into equal fractional sections
76,K3,Numbers and Operations,fractions as parts of a whole,Fraction understanding,Confusing the numerator and denominator
77,K3,Numbers and Operations,fractions as parts of a whole,Fraction comprehension,Drawing unequal parts when asked to divide a shape into equal fractional sections
78,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,Incorrectly shading or identifying fraction parts
79,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization error,"Drawing unequal parts when asked to represent a fraction, showing difficulty understanding that fraction segments must be equal in size"
80,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"The student draws the fraction shape incorrectly, dividing the whole into unequal parts or not shading the correct number of parts"
81,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,Drawing unequal parts when asked to divide a shape into equal fractions
82,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Draws fraction shapes without consistent proportionality, showing unequal segments when attempting to represent 1/4"
83,K3,Numbers and Operations,fractions as parts of a whole,Fraction Understanding,Treating fractions as separate whole numbers instead of parts of a single whole
84,K3,Numbers and Operations,fractions as parts of a whole,Fraction visualization,"The student draws the fraction shape unevenly, dividing the whole into inconsistent segments"
85,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Draws unequal parts when asked to divide a shape into equal fractional sections, showing difficulty understanding that fraction segments must be identical in size"
86,K3,Numbers and Operations,fractions as parts of a whole,Visual representation error,"When asked to divide a shape into equal parts, the student draws unequal segments or inconsistent fractional parts, indicating difficulty understanding geometric fraction representation"
87,K3,Numbers and Operations,fractions as parts of a whole,Fraction representation,"Drawing an irregular or inconsistent division of a shape when asked to represent a fraction, showing incomplete understanding of equal parts"
88,K3,Numbers and Operations,fractions as parts of a whole,Visual fraction representation,"The student shades random parts of a shape instead of equal parts, demonstrating incomplete understanding of fraction denominators"
89,K3,Numbers and Operations,fractions as parts of a whole,Fraction conceptualization,Confusing parts of a whole with counting individual pieces instead of understanding proportional division
