Sample,Grade,Topic,Sub-topic,Challenge Type,Student Mistake
21,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses the concept of partitioning with the concept of combining and incorrectly adds the parts to the whole as if they are distinct, unconnected objects."
22,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles with the concept of equal parts and may not understand that all parts of the whole must be the same size. They might try to compare unlike pieces, or miss counting a portion."
23,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student doesn't understand the concept of equal parts and may be counting individual shapes instead of the whole.
24,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses equal parts with the total amount, focusing on the number of objects counted rather than the fraction representing the whole divided into equal portions."
25,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student doesn't understand the concept of 'parts of a whole' and treats each section as a separate, unrelated item instead of a piece that contributes to the totality."
26,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student attempts to add the numerators directly without understanding the concept of equal parts or the need for a common denominator (even if not explicitly named). They treat the parts as whole numbers.
27,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student confuses the concept of fractions and the overall quantity. They might believe each part represents a fraction of a single unit instead of a fraction of the total amount.
28,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to visually identify and represent equal parts, possibly misunderstanding the concept of 'whole' or confusing it with unrelated objects. May also just be counting the number of objects presented rather than their relationship to the whole."
29,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student confuses the concept of equal parts when dividing a shape and may perceive smaller sections as being a different 'part' than a larger section of the same shape.
30,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student confuses the concept of equal parts when identifying fractional representation. They may not understand that the size of the parts must be the same.
31,K2,Geometry,parts of a whole,Conceptual misunderstanding - Fractions & Spatial Reasoning,"The student confuses the concept of equal parts. They might attempt to divide the whole into parts that *look* similar, but aren't actually equal in size. For example, if asked to color 1/2 of a shape, they may randomly color a section that is visually half but not accurately divided into two equal portions. Or, the student may struggle to distinguish between the *number* of parts and the *size* of each part, believing more colored parts always means a greater fraction, even if the parts are smaller."
32,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to understand the concept of a fraction representing a part of a whole. They might: 

1.  **Misinterpret the denominator:** Think the bottom number (denominator) shows how *many* of a specific item are present overall, not the number of *equal parts* the whole is divided into.
2.  **Misinterpret the numerator:** Think the top number (numerator) shows how *many* are present in the parts, and not the number of the *parts* we are considering.
3. **Cannot associate 'whole' with the entire shape:**  Focus only on the parts and not understand that those parts make up the original shape and its quantity. 
4.  **Count parts incorrectly:** Mismatch the number of parts, by missing a part or recounting some."
33,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student doesn't understand equal parts or the concept of 'whole'. They might count the number of sections incorrectly, or focus on the size/shape of the parts rather than their relative proportions to each other and the total."
34,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to identify and quantify equal parts of a whole shape. They may believe that simply drawing lines divides the shape into parts, without considering the size of each part. The student might also randomly color sections and not understand the relationship between the colored sections and the whole shape."
35,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student incorrectly focuses on the number of shapes and not the area/size they represent in relation to the whole. For instance, if presented with a circle divided into four equal parts and asked to identify one part, the student might focus on counting the four parts rather than understanding what 'one part' represents in proportion to the entire circle."
36,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student attempts to count individual shapes without understanding the relationship of parts to the whole or incorrectly focuses on the shapes of the parts rather than the number of pieces making up the whole. For example, if presented with a circle divided into four equal pieces (quarters), the student might say there are three pieces instead of four, or count the straight lines instead of the sections."
37,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to conceptualize fractions and may be counting individual items instead of understanding a part-whole relationship. They might point to the object and say a single number, or incorrectly count individual segments regardless of the overall whole."
38,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles with the concept of partitioning a whole into equal parts, possibly focusing on the number of pieces rather than the size of each piece."
39,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student struggles to visually identify and compare the relative sizes of the parts. May select a part that 'looks' bigger without considering if the shapes are equal.
40,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misunderstands how to relate the number of pieces (fractions) to the original whole and might attempt to count the pieces incorrectly, or add pieces even when they are meant to describe portions of a single, divided shape."
41,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student confuses the concept of 'part of a whole' with simple counting. They might attempt to count individual shapes within a larger shape without understanding the relationship between the parts and the whole.
42,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student confuses 'how many pieces' with 'how big each piece is'. They might count the total number of lines drawn to divide the shape instead of counting the resulting sections.
43,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses the concept of 'part' with the size or quantity of the entire whole, possibly thinking a larger whole always results in a larger part, regardless of the fraction. The student also may not understand the symbolic representation (e.g., drawing a part of a circle)."
44,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student focuses on the number of objects present rather than the proportional relationship to the whole. For example, if the problem involves cutting a circle into four equal parts and asks 'How many parts are shaded?', the student may count the total number of parts (4) instead of the shaded parts if the answer is 1 or 2. Or, if they count, they may not be able to express a fraction. The student might also simply give a number without clarifying its relation to the 'whole'."
45,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student misunderstands equal sharing and may count individual parts instead of recognizing the fraction as a whole.
46,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student attempts to apply the concept of 'more' or 'less' directly to part-whole relationships without understanding the relative size of the parts or the whole. They might focus on comparing numbers without considering the fractions or proportions. They might also confuse the meaning of 'half' or 'quarter' as simply a smaller quantity, rather than a proportional division."
47,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student doesn't understand the concept of equal parts. Might try to count or add the shapes instead of understanding fractions or parts of the whole. Also, might not understand ""whole""."
48,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks all shapes represent the same 'whole' regardless of size, and focuses on the number of shaded parts without considering the total parts."
49,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to visually decompose and represent the fractional parts. They might focus on the total number of elements present, or not correctly identify which part represents the fraction, maybe by counting incorrect sections or comparing different visual quantities that are not relevant."
50,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses the concept of equal parts. For example, when presented with a shape divided into unequal parts and asked to identify 'halves,' they might point to the largest part."
51,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student focuses on counting individual items instead of understanding the proportional relationship between parts and the whole; they might misinterpret the concept of 'fraction' as just a number of objects.
52,K2,Geometry,parts of a whole,Conceptual misunderstanding - Parts of a Whole,"Student focuses on the number of pieces instead of the size or proportion of each piece in relation to the whole. For instance, if shown a pizza cut into 4 slices, the student might identify the slice as 'one' without understanding it's one *part* of the pizza."
53,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misunderstands how to visually represent fractions, potentially confusing the number of shaded parts with the total number of parts, or misinterpreting 'whole' as a fixed, unchanging quantity regardless of the problem context. They may struggle to divide the shape into equal parts and/or to identify the designated parts representing a fraction."
54,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to visually identify and compare the different sized parts of a whole, assuming equal parts where they don't exist. They may also confuse the number of parts with the size of the parts."
55,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student focuses on counting individual pieces regardless of the whole's representation and size, likely confusing 'parts' with just a quantity of objects. They also may not understand the concept of equal parts, counting unlike sections as equivalent for their total."
56,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misunderstands how to combine shaded portions representing fractions, possibly adding the numerators directly without considering the whole."
57,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles with the concept of equal parts and may not understand that all parts of the whole must be the same size. They might try to estimate sizes visually and incorrectly divide a shape, assuming the biggest or smallest sections are 'one part'."
58,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student doesn't understand the concept of equal parts or the relationship between the whole and its parts. They might try to count individual shapes within a larger shape without considering if they are actually 'parts' of the whole or simply distinct objects. For example, if shown a pizza cut into 4 slices and asked 'How many parts are there?', they might count the crust, the cheese, and the pepperoni as parts, rather than the 4 slices."
59,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses 'parts of a whole' with counting individual objects or focuses on visual similarities between shapes without understanding proportional relationships. For example, when asked to identify one-half of a shape divided into four equal parts, they might point to a single part, thinking that since there's one, it's a 'part' of the whole, or they might select two parts, but without a clear explanation of why. They are unable to see the proportional relationship between the parts and the whole, often focusing on appearance rather than the value of the divided sections."
60,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student focuses on the number of 'pieces' rather than the proportional size of each piece when comparing parts of a whole. For example, if presented with a circle cut into 4 pieces and a circle cut into 8 pieces, the student might incorrectly believe the circle with 8 pieces is 'more' than the circle with 4 pieces, regardless of whether they are shaded to represent fractions."
61,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses the concept of 'parts of a whole' with counting individual items and focuses on a number sequence instead of the fractional relationship. For example, when presented with a circle divided into four equal parts and asked to identify one part, the student might say 'one, two, three, four' (counting the sections) rather than 'one out of four' or 'a quarter'."
62,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student misunderstands the concept of equal parts or area when comparing them. May focus on counting items within the shape instead of understanding relative sizes.
63,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misunderstands fractions as independent entities rather than parts of a single whole. They may attempt to count the shaded parts without considering the total number of parts in the whole figure, or struggle to relate the numerator to the denominator."
64,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student counts individual objects instead of understanding fractions as parts of a whole, possibly misinterpreting 'part' as a specific item. They may also struggle with identifying what represents the 'whole'."
65,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to visually represent and compare fractional parts, potentially focusing on the number of shapes rather than the shaded area or size of the parts."
66,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student struggles to understand the concept of 'part of a whole' and may be focusing on individual objects rather than the relationship between them. They might count items separately without considering the total.
67,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misunderstands the concept of equal parts and may try to 'count' parts without regard to their size, or misinterpret the total amount needed. They may also be confused between identifying the 'whole' and the 'part'."
68,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that all parts of the whole must be identical in shape and size, regardless of the visual representation (e.g., circles, squares, etc.). The student also struggles with the idea of dividing a shape into fractions beyond recognizing ""halves""."
69,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student is unable to accurately represent the fractional parts of a whole, possibly focusing on counting individual objects instead of understanding equal parts."
70,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student focuses solely on the visual size of the parts and doesn't understand the concept of equal-sized shares within a whole. May also have difficulty identifying the whole. For example, given a circle divided into unequal sections, the student might claim the bigger section represents more even if it's not defined by the 'equal' concept."
71,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student confuses the concept of 'part of a whole' with simply adding or subtracting the given numbers without considering the overall shape or amount. They may also struggle with counting or comparing parts of a whole if the division isn't clear or visual. They may not understand that the shaded area is a part of the original whole.
72,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to identify the fraction representing a shaded part when multiple equal parts are present. They may count the shaded parts without considering the total number of parts, or misinterpret the meaning of 'whole'."
73,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to identify equal parts and may not understand the concept of partitioning a whole into fractions. They may count all the shapes, regardless of their size, or focus on features other than equal areas when comparing parts to the whole."
74,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student counts individual objects instead of considering equal parts of a whole (e.g., a pizza cut into slices)."
75,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes the concept of 'part of a whole' only applies to physical separation (cutting) and not to visual grouping or shading. For example, if presented with a shape divided into colored sections, they might only identify a part as a whole if actual 'pieces' are physically detached, rather than if the sections are just visually different."
76,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misunderstands the concept of equal parts and may perceive unequal partitions as valid 'parts' of the whole. For example, if shown a rectangle divided into one large section and a few small sections, they might identify the large section as representing a 'part' without considering it proportional to the whole."
77,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student confuses the concept of 'equal parts' with simply dividing the shape into any parts and then incorrectly attempts to quantify the parts without understanding fractions. They might randomly assign numbers to the sections without considering whether they represent equal portions of the whole.
78,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses the concept of 'parts' with counting individual objects, leading to an incorrect representation of fractions. They might also not understand that the 'whole' needs to be divided into equal parts."
79,K2,Geometry,parts of a whole,Shape Recognition and Parts of a Whole,"The student counts the shapes in a group but doesn't understand that the shapes are parts of the whole. They may also misidentify shapes or struggle with quantity representation. For instance, they might be shown a circle divided into 4 equal parts and say 'There are three squares!' and point to a triangle and a square near the whole. They may struggle with a simple fractions problem, 'If you have a circle with one part shaded, what do you have?'"
80,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles with proportional reasoning and visualizing fractions. They may incorrectly count individual objects instead of understanding the part-whole relationship represented by a fraction. For example, if the problem asks what part of a group of 4 blocks is 1 block, they might respond by saying 'one', focusing on the single block without referencing the total."
81,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student struggles to visualize the fraction and its relationship to the whole. May miscount or confuse the numerator and denominator.
82,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to visually identify and separate the parts of the whole, possibly confusing the total number of objects with the number representing the parts of a whole. They may also incorrectly count the entire set as the 'part' instead of recognizing fractions as portions."
83,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that when dividing a shape into parts, all parts must be equal in size and shape, even when the instructions do not explicitly state this."
84,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles with the concept of equal parts and doesn't understand the need for equal sized pieces. They may attempt to 'divide' the whole by visually separating it, but not necessarily by dividing it into equal-sized portions. For example, if asked to color half of a circle, they might color a section that visually looks approximately half but isn't precisely half of the entire area. Or they might attempt to divide the whole into sections and then 'count' them, without understanding that counting only works for equal parts. This could also manifest as a counting error if they try to split the shapes."
85,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses the number of parts with the size of each part. For example, when presented with a circle divided into 4 equal parts, the student counts the parts but doesn't understand that one 'part' is 1/4 of the whole, and incorrectly states how much of the circle is shaded."
86,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misunderstands how to compare fractional parts visually and counts the number of pieces instead of considering their size relative to the whole. For example, when presented with two shapes cut into different numbers of pieces, the student may incorrectly identify the shape with more pieces as having the larger fraction, regardless of the size of the individual pieces."
87,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student is unable to identify or quantify the parts of the whole, potentially counting individual objects instead of focusing on grouped portions."
88,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to visualize and represent fractional parts. May count the pieces but not grasp the relationship of the part to the whole. For example, they might be given a shape cut into 4 pieces and asked to point to 1/4 and point to one individual piece or simply count 1 piece, without understanding it represents a portion of the whole."
89,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student attempts to count individual pieces without understanding the concept of the whole or how they relate proportionally. Might point to each piece and say a number, without realizing they are all 'part of something bigger'."
90,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student doesn't understand the concept of 'parts of a whole'. They might be counting individual items instead of focusing on the relationship of a subset to the entire set.
91,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles with the concept of equal parts and may not understand the relationship between the size of the part and the whole. They might miscount or misinterpret what constitutes 'equal' parts, possibly focusing on the number of objects rather than their proportional size."
92,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misunderstands the relationship between the shaded part and the whole, possibly counting the shaded parts instead of understanding the fraction of the whole that is shaded. They might also confuse the concept of 'parts' with 'amount'."
93,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses equal parts with visual similarity. For example, when asked to identify one-half of a shape, they might choose a section that looks similar in size to another, even if it's not exactly half or if the other half is of a different shape."
94,K2,Geometry,parts of a whole,Conceptual misunderstanding - Fractions as parts of a whole (area/region),"The student incorrectly identifies the equal parts or counts the parts incorrectly. The student might not understand that the parts must be equal in size to represent fractions. Alternatively, they may count the total number of shapes instead of parts of the whole."
95,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student focuses on individual shapes (like rectangles) within a larger shape and counts them instead of considering the area as divided parts of the whole. For example, given a rectangle divided into four smaller rectangles, the student counts the individual rectangles and answers '4' without understanding this relates to fractions of the total area."
96,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student struggles to understand the concept of 'equal parts' and may count individual objects instead of the whole, or misinterpret the visual representation of the whole."
97,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student misunderstands how to divide a whole shape into equal parts, perhaps drawing parts of unequal size or miscounting the desired number of parts. They might focus on drawing lines without ensuring equal areas."
98,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that visually smaller sections of a shape always represent a smaller fraction, without considering the total number of sections. For example, in a circle divided into unequal parts, they might incorrectly identify a small section as one-half, assuming it's half because it 'looks' small."
99,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student confuses the concept of 'parts of a whole' with adding individual components and might try to add or subtract the quantities without understanding the proportional relationship. For example, if the problem involves shading part of a shape, the student might count only the shaded portions without considering their proportion to the total parts of the shape."
100,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student focuses on the number of pieces visible rather than the fraction representing the shaded area, possibly misinterpreting the problem as counting individual shapes instead of parts of a whole."
1,K3,Numbers and Operations,fractions as parts of a whole,Understanding Fractions as Parts of a Whole,"The student counts individual objects separately instead of understanding the group as the whole, and/or struggles with identifying equal parts."
2,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student confuses the parts of a whole with the whole itself and attempts to count individual objects, not the fractional parts. For example, when asked to identify 1/2 of 4 cookies, the student might count all 4 cookies and say they have 1/2 of the cookies, rather than selecting or identifying 2 of the cookies."
3,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student struggles to represent the shaded part correctly, potentially confusing the total number of pieces with the number of shaded pieces, or miscounting."
4,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student struggles to visualize or represent the fractional parts correctly, possibly miscounting the total number of parts or incorrectly identifying the shaded portion."
5,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding - Fraction Representation,"The student doesn't understand that the fractions represent parts of a whole and tries to add the numerators and denominators directly as separate values, or counts the pieces incorrectly without considering the total number of pieces in the whole."
6,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student struggles to correctly identify the fractional parts within a visual representation (e.g., a circle divided into sections). They may count the shaded parts correctly but misinterpret the relationship to the whole, incorrectly stating the fraction."
7,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student struggles to understand the concept of equal parts and might not accurately represent or count the parts of the whole. They may also not grasp the relationship between the fraction and the whole.
8,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student struggles to correctly identify and represent fractional parts of a whole, potentially confusing the number of shaded parts with the total number of parts, or focusing only on the visual representation without understanding the concept of 'equal parts'. They might count individual objects within the whole instead of understanding them as parts of a set."
9,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student doesn't understand the concept of equal parts and may count objects individually rather than as a whole representing a fraction.
10,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student counts the shaded parts of a whole and then also counts the non-shaded parts, adding them together instead of focusing on just the shaded portion as a fraction of the total."
11,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student confuses the number of parts shaded with the total number of parts and misinterprets the fraction. For example, given a shape divided into four parts, and two parts are shaded, the student might say the fraction is 2/2 instead of 2/4, focusing solely on the shaded parts."
12,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student confuses the denominator with the numerator or doesn't understand the concept of equal parts. For example, if asked to color 1/4 of a shape divided into four parts, the student might color one part, then randomly color another part, not realizing they've selected two out of four parts."
13,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student struggles to visualize the concept of fractions as parts of a whole, potentially confusing the denominator's role or miscounting the parts."
14,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student believes the total number of parts must always equal the number of objects being divided, and doesn't correctly represent the shaded portion.  For example, if the problem presents a circle divided into 4 parts with 1 shaded, the student might try to shade 3 more parts because they think '1/4' means shading 3 more to get to a whole."
15,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student struggles to accurately represent the fractional parts when the whole is not explicitly divided into equal sections. May miscount, mis-partition, or focus on the number of items without considering the equal-sized portions."
16,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student misunderstands the concept of 'parts of a whole' and may misinterpret the number of pieces as the fraction's value itself, or they might focus on the total number of items rather than the specific pieces being asked for. For example, if asked to identify 1/4 of a set of 4 blocks, the student might: (a) point to one block, but struggle to articulate the fraction; (b) count all four blocks and say 'four'; (c) randomly select multiple blocks and say 'I have some'."
17,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student struggles to visually represent and identify fractional parts. They may: 

*   Count all objects as the 'whole' regardless of how many are shaded.
*   Incorrectly identify the denominator, perhaps using the number of shaded parts.
*   Not recognize the shaded parts as 'part' and unshaded parts as another part of the whole.  
*   Confuse fractions with whole number counting, seeing 'one' as 'one item' rather than one part of a whole divided into equal portions."
18,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student counts the pieces as representing the whole, rather than the parts relative to the whole, or misunderstands the meaning of 'fraction' in this context. They may also simply be counting the individual objects and not relating them to the group as a whole."
19,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student focuses on the size/length of the parts, not their equal value for fractions as parts of a whole."
20,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student struggles to identify the correct fractional part. They might count all parts regardless of the shaded portion or miscount the total parts.
21,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student confuses the meaning of the fraction and attempts to apply it as a whole to the pieces of a whole.
22,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student incorrectly identifies the unit fraction representing the shaded portion of a whole, possibly counting individual items instead of recognizing the fractional relationship, or misinterprets the total number of parts."
23,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student struggles to understand the concept of equal parts. They may not divide the whole into equal pieces, or they may count the number of pieces instead of the portions shaded to represent the fraction."
24,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student confuses the concept of the whole with the number of parts, focusing on the visual size or number of objects rather than equal division. They may also struggle with the language associated with fractions (e.g., 'half,' 'quarter')."
25,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student counts the number of shaded objects but does not relate it to the total number of objects to represent the fraction, often focusing on just the shaded portion."
26,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student confuses the denominator with the number of parts to shade and/or doesn't understand that the whole needs to be split into equal parts.
27,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student struggles to understand the equal-sized parts and might focus on counting individual objects regardless of the whole, potentially mixing the concept of 'how many are shaded' with 'how many total'. Alternatively, they might not be able to visualize the whole and therefore fail to determine the correct relationship."
