Sample,Grade,Topic,Sub-topic,Challenge Type,Student Mistake
32,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student believes that splitting a shape into parts involves simply making random cuts instead of dividing it into equal parts.
33,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that splitting a whole into parts means to just write numbers without considering the size of each part.
34,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that to find half of a shape, they need to add all the parts together instead of dividing it."
35,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student incorrectly thinks that adding the parts of a shape together will always equal the whole, even when the parts overlap."
36,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student believes that parts of a whole can be treated as separate entities rather than understanding that they must sum to the whole.
37,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that parts of a whole should always be equal, leading them to incorrectly state that if a cake is cut into 4 pieces, each piece must be 1/4, regardless of the sizes of the pieces."
38,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that combining parts of a whole means adding the numbers together, regardless of whether they represent the same whole."
39,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that parts of a whole should always be equal, so they believe that dividing a shape like a rectangle into different sections means each section must be the same size."
40,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that all parts of a whole must be equal and struggles to understand that different parts can represent different fractions.
41,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that splitting a shape into smaller shapes means simply counting the number of parts, without recognizing that those parts need to be of equal size or represent equal fractions."
42,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly applies the distributive property to combine fractions without proper understanding of how to add or compare parts of a whole.
43,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if a shape is divided into parts, the parts must always be the same size."
44,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student believes that parts must be equal to represent a whole and fails to understand that different sized parts can still make a whole.
45,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if a shape is divided into parts, you can add the parts' sizes together to find the whole without considering the shape's dimensions."
46,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that to find parts of a whole, they can just add the parts together without considering the total amount."
47,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that the whole is always one piece and cannot be divided into smaller parts.
48,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that cutting a shape into smaller pieces means each piece represents a whole part, instead of understanding they are parts of a whole."
49,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that parts of a whole can be added together without considering the total, for example, saying 'I have 2 out of 4 and 1 out of 4, so that's 3 out of 8.'"
50,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that to find a part of a whole, they need to subtract the part from the whole rather than using a fraction or division."
51,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that to find a part of a whole, they need to multiply the whole by a fraction, instead of understanding that fractions represent parts of a whole."
52,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that parts of a whole must always be equal, so they think 1/4 and 1/4 can form a whole without considering other fractions."
53,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if a shape is divided into parts, they can simply add the parts' perimeter lengths together to find the perimeter of the whole shape."
54,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that to find parts of a whole, they should add the fractions instead of subtracting them from 1."
55,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student believes that parts of a whole can be added together without considering that they need to have the same denominator.
56,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that parts of a whole can only be represented by the same shapes and incorrectly applies the distributive property, believing that if you have one shape, you can just split it into smaller identical shapes to find the parts."
57,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that fractions represent parts of a whole in order, so they assume that 1/4 is larger than 1/3 because they are counting the numbers."
58,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student assumes that all parts of the whole must be equal and struggles to understand that parts can be different sizes.
59,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if a shape is divided into parts, those parts can be treated as separate shapes instead of portions of the whole."
60,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that parts of a whole can be added together without considering they must be equal sized or proportional.
61,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that splitting a shape into two parts always means making equal halves, and struggles to understand that parts can be different sizes."
62,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that splitting a shape into parts means just drawing lines anywhere without regard to equal sizes.
63,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly believes that halves and fourths are the same and adds them together without understanding their relationship to a whole.
64,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if a whole is divided into parts, they can just add the parts together without considering the total. For example, they might say that if one part is 2 and another part is 3, the whole must be 5, without realizing it only applies if those parts represent the entire whole."
65,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student incorrectly thinks that to find half of a shape, they should split all sides in half instead of understanding that they need to divide the area."
66,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly applies the distributive property.
67,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that to find a part of the whole, they need to add instead of divide the parts."
68,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student believes that combining fractions requires adding their numerators and denominators without recognizing they are parts of a whole.
69,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks parts of a whole can only be whole numbers and struggles to understand fractions or percentages.
70,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly thinks that the whole can be divided into parts in any way without considering the total size of the whole.
71,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that if a shape is divided into 4 equal parts, each part must always be 1/4 of the whole, regardless of the size or shape of the whole."
72,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that parts of a whole must always be equal and does not understand that fractions can represent unequal parts.
73,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student believes that every part has to be the same size when dividing a whole.
74,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if they divide a shape into two equal parts, each part is the same size as the whole shape."
75,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that to find a part of a whole, they need to add the parts together instead of understanding that they need to take a fractional portion of the whole."
76,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if a shape is divided into parts, each part must be equal, even if they are different shapes."
77,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student incorrectly thinks that 1/2 of a whole means taking one out of two parts, rather than understanding it as a fraction of the whole."
78,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that parts of a whole can only be equal, so they struggle to understand fractions like 1/3 and believe they cannot combine them with other fractions."
79,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student believes that adding parts of a whole means you can simply add the numbers without considering the total value of the whole.
80,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that when dividing a whole into parts, they need to add the fractions instead of finding the correct parts."
81,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that to find half of a shape, they can just color half of the outline instead of the area."
82,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student believes that parts of a whole can be added together to make a whole without considering if the parts are the same size.
83,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that 'half' means to just cut a shape in any way, rather than understanding it needs to be equal parts."
84,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that a whole can be divided into parts by simply adding the part sizes together, without considering the total size of the whole."
85,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that adding parts of a whole means adding the denominators of the fractions instead of the numerators.
86,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student incorrectly thinks that if a whole is divided into parts, each part can be multiplied to get back to the whole."
87,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that if a shape is divided into parts, they can just count the parts to find the whole without understanding the relationship among the parts."
88,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student incorrectly believes that parts of a whole can be added together without considering their sizes, thinking that 1/2 + 1/3 equals 1/2."
89,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that parts of a whole must always be equal, so they attempt to divide a pizza into 4 equal slices but insist that each piece must be the same size, even if the pizza is unevenly shaped."
90,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly thinks that adding the parts of a whole always results in a larger number than the whole.
91,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that when dividing a shape into parts, they can just add the sizes of the parts without understanding that they need to compare them to the whole."
92,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that taking away parts of a whole means subtracting the numerators of fractions without considering the denominators.
93,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that adding parts of a whole means they can just add any numbers together without considering if they belong to the same shape or context.
94,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student thinks that parts of a whole can be represented by adding whole numbers instead of fractions, leading to confusion about how to combine the parts."
95,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly thinks that dividing shapes into halves means creating two smaller shapes that are different sizes.
96,K2,Geometry,parts of a whole,Conceptual misunderstanding,"The student believes that if you divide a shape into parts, you can add the parts together regardless of their sizes, and assumes that all divided parts are equal."
97,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student incorrectly applies the distributive property.
98,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that parts of a whole must be equal and struggles to understand that different fractions can represent different sizes of parts.
99,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions with different denominators means just adding the numerators and denominators separately without finding a common denominator.
100,K2,Geometry,parts of a whole,Conceptual misunderstanding,The student thinks that parts of a whole can be multiplied instead of added together.
1,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that 1/4 of a pizza means taking 1 piece from a pizza that is cut into 4 equal pieces, rather than understanding it as one of the four equal pieces."
2,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding the numerators and denominators separately gives the correct answer for adding fractions.
3,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that to add fractions, they can just add the numerators and the denominators separately without finding a common denominator."
4,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that if a whole is divided into 4 parts, each part must be 4, instead of understanding that each part is 1/4 of the whole."
5,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that 1/2 of a pizza means taking a slice from each half instead of taking one whole half.
6,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that if they have 3/4 of a pizza and they take 1/2 of that, they should subtract 1/2 from 3/4 instead of finding 1/2 of 3/4."
7,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that to find 1/2 of 1/4, they should add the two fractions instead of multiplying."
8,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that if a pizza is divided into 4 equal slices and they eat 2 slices, they have eaten 2 out of 4 pizzas instead of 2 out of 4 slices."
9,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student believes that 1/2 plus 1/2 equals 1/4, thinking that adding the numerators and denominators separately is correct."
10,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that to add fractions, they can just add the numerators and the denominators separately without finding a common denominator."
11,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that adding fractions means adding just the numerators and the denominators separately, without finding a common denominator."
12,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions means just adding the numerators and the denominators separately without finding a common denominator.
13,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student believes that if a whole is divided into four equal parts, each part must be represented as 4/1 instead of 1/4."
14,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student believes that if a shape is divided into 4 equal parts, each part represents 4/1 of the whole."
15,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks 1/2 + 1/2 = 1/4.
16,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that to find half of a pizza, they just cut it into two equal slices but don't actually take a physical piece out to see what half looks like."
17,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions means adding the numerators and then the denominators separately without finding a common denominator.
18,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that to find half of a fraction, they need to multiply the numerator and the denominator by 2."
19,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that 1/2 of a pizza means taking two pieces from a whole pizza, instead of understanding that it means dividing the pizza into 2 equal parts."
20,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions means just adding the numerators and keeping the denominator the same.
21,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that 1/2 of a whole is the same as 2/4 of that whole and can't see that both are equal parts.
22,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student believes that if they have 1/2 of a pizza and someone gives them another 1/2 of a pizza, they now have 1/4 of a pizza."
23,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student incorrectly thinks that fractions can be added by simply adding the numerators and denominators without finding a common denominator.
24,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions means just adding the numerators and denominators separately.
25,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding the numerators and denominators separately gives the correct fraction.
26,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student believes that if half of a pizza is 2 slices and the whole pizza is 4 slices, then 1/4 of the pizza should also be 2 slices."
27,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that a fraction can be greater than 1 if the numerator is larger than the denominator, but doesn't understand that it's just a part of a whole."
28,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that adding the numerators and denominators of the fractions like 1/2 + 1/3 means they should add both 1 + 1 for the numerators and 2 + 3 for the denominators, arriving at 2/5 instead of finding a common denominator."
29,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks adding the numerators and denominators directly gives the correct fraction.
30,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student believes that adding fractions with different denominators is done by simply adding the numerators and denominators separately without finding a common denominator.
31,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that if they have one whole pizza and they cut it into four equal pieces, each piece represents one fourth of the pizza but believes they can combine two different pizzas and cut them separately into four pieces each to create more 'fourths'."
32,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student believes that if a pizza is cut into 4 equal slices, having 3 slices means they have 'more than one whole' because they see it as 3 out of 4."
33,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that to add fractions, they can simply add the numerators and the denominators without finding a common denominator."
34,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions only requires adding the numerators and ignoring the denominators.
35,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that if 1/2 of a pizza is gone, then 1/2 of the remaining pizza is the same as 1/4 of the whole pizza."
36,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that adding two fractions means just adding the numerators and denominators separately, without finding a common denominator."
37,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student misunderstands fractions as just subtraction, thinking that 1/2 - 1/4 = 1/4."
38,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that 1/2 of 1/4 is the same as 1/4 of 1/2.
39,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that to add 1/2 and 1/3, they just add the numerators and then add the denominators, resulting in 2/5."
40,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student believes that adding fractions means adding only the numerators and ignoring the denominators.
41,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student confuses the numerator and denominator, treating both as parts of the whole instead of understanding that the numerator counts the parts taken and the denominator counts the total parts."
42,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that fractions can be added simply by adding the numerators and denominators independently.
43,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions means just adding the numerators and keeping the same denominator without finding a common denominator.
44,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions with different denominators means they can just add the numerators and keep the denominators separate.
45,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student believes that adding fractions means combining the numerators and denominators directly without finding a common denominator.
46,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student believes that if 1/2 of a pizza is taken, then there is still 1/2 left regardless of how many pieces are left in the pizza."
47,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that a fraction is the same as a whole number and simplifies 1/2 to just 1.
48,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that 1/2 + 1/3 can be directly added as 1/2 + 1/3 = 2/5 without finding a common denominator.
49,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions means adding the numerators and denominators separately without finding a common denominator.
50,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding two fractions results in a whole number instead of a fraction.
51,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student believes that if they have a fraction like 1/2 and want to add it to 1/2, they can just add the numerators and denominators separately, resulting in 1 + 1 over 2 + 2, leading to 2/4, thinking it's the same as 1."
52,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions means they can just add the numerators and keep the same denominator.
53,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that 1/2 of a pizza means to take 1 and then divide it by 2, resulting in '1 piece' instead of recognizing it as representing part of a whole."
54,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that the numerator and denominator in a fraction can be multiplied separately rather than understanding that they represent parts of a whole.
55,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding the numerator and denominator gives the total parts of the whole.
56,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student believes that fractions must always be whole numbers and therefore cannot understand that 1/2 means one part of two equal parts.
57,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that adding fractions requires adding the numerators and the denominators separately, without finding a common denominator."
58,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that 1/3 of a pizza means taking three equal pieces instead of understanding it as one out of three total equal parts.
59,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that each part of a fraction is a separate whole, leading to confusion between parts and wholes."
60,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that fractions can only be added by adding the numerators and denominators separately without finding a common denominator.
61,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that 1/2 + 1/3 is the same as 1/2 + 1/3 = 2/5 instead of finding a common denominator.
62,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that fractions can be added by simply adding the numerators and the denominators without finding a common denominator.
63,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions means adding the numerators and denominators separately without finding a common denominator.
64,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding the numerators and denominators of fractions gives the correct answer.
65,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that if a pizza is cut into 4 slices, taking 2 slices means they now have 2/4 of the pizza, and they believe they can add another pizza cut into 4 slices to get 4/4."
66,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student believes that fractions only represent parts of a whole when the numerator is smaller than the denominator.
67,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that when a whole is split into 4 equal parts, each part is represented by the number 4 instead of the fraction 1/4."
68,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions requires adding the numerators and denominators separately without finding a common denominator.
69,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions requires adding the numerators and denominators separately without finding a common denominator.
70,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student believes that adding fractions requires adding the numerators and the denominators separately without finding a common denominator.
71,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions with different denominators means just adding the top numbers and the bottom numbers without finding a common denominator.
72,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that if a whole is divided into 4 parts, each part must always be 1/4, without realizing that the size of each part can vary depending on how the whole is divided."
73,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student believes that adding fractions requires finding a common denominator, but mistakenly thinks it is the same as adding whole numbers."
74,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that fractions can only be added if the denominators are the same, but does not understand how to find a common denominator."
75,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that to find a fraction of a shape, you just draw more shapes instead of dividing the original shape."
76,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that 1/2 of a pizza means splitting it into two smaller pizzas instead of taking half of one pizza.
77,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that if 1/2 of a pizza is taken, the remaining part is 1/2 of a whole pizza instead of recognizing it as 1/2 of the pizza that is left."
78,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that to add fractions, you just add the numerators and denominators separately without finding a common denominator."
79,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks 1/4 of a pizza means having 4 pieces instead of understanding it as one piece of 4 equal parts.
80,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding fractions means just adding the numerator and denominator separately without finding a common denominator.
81,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that all fractions must add up to 1, so they add the numerators and denominators together without understanding part-to-whole relationships."
82,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that 1/2 and 2/4 are different amounts because they look different, not understanding they represent the same part of a whole."
83,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that fractions can be added by adding the numerators and denominators separately, without finding a common denominator."
84,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding the numerators and denominators separately represents combining fractions.
85,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that 1/2 of 1/3 means to add the two fractions instead of multiplying them.
86,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,The student thinks that adding the numerators and denominators separately gives the correct answer for fractions.
87,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that if a shape is divided into 4 parts, taking 2 parts means they have 2 out of 4, but they believe this equates to 1 instead of 1/2."
88,K3,Numbers and Operations,fractions as parts of a whole,Conceptual misunderstanding,"The student thinks that 1/2 of a pizza can be added to 1/4 of a pizza as whole numbers, so they say 1/2 + 1/4 = 3/4 without finding a common denominator."
