Grade,Topic,Sub Topic,Challenge Type,Challenge faced,Problem,Student's mistake prompt,Teacher's resolution
K1,Numbers and Operations,The meaning of the equal sign,Language Barrier,Confusing the equal sign with other symbols,3 + 4 ? 7,Uses a question mark or other symbol instead of an equal sign.,Clarify the specific role of the equal sign and distinguish it from other symbols.
K1,Numbers and Operations,Word problems within 20,Conceptual,Confusing addition with multiplication,"There are 4 groups of 3 apples, how many apples are there?",Adding instead of multiplying.,Explain the concept of groups and how multiplication fits in.
K1,Numbers and Operations,The meaning of the equal sign,Misinterpretation,Seeing the equal sign as a 'next step',7 - 2 =,Stops or sees the equal sign as a prompt to continue.,Clarify that the equal sign shows the result of the expression.
K1,Measurement,Measure length,Conceptual,Confusion Between Length and Height,Measure the height of a table and call it length.,Using the term 'length' for vertical measurements.,Clarify the difference between length (horizontal) and height (vertical).
K1,Measurement,Measure length,Conceptual,Misunderstanding Non-Standard Units,Measure using blocks and confuse the count.,Using different sized blocks and counting them as the same unit.,Discuss the need for consistent units for accurate measurement.
K2,Numbers and Operations,word problems,Conceptual,Difficulty with Negative Results,You have 3 cookies and want to give away 5. How many cookies do you have?,Not understanding that you can't have negative cookies.,Explain that giving more than you have is not possible in this context.
K2,Numbers and Operations,"place value concepts (hundreds, tens and ones)",Sequential Processing,Having trouble following steps sequentially in related problems,Add 123 and 456 step-by-step.,Jumps steps or skips parts of the process.,Teach sequential problem-solving skills and practice step-by-step processing.
K2,Numbers and Operations,comparing 3-digit numbers (less than / greater than / equal),Attention,Overlooking Tens and Units,Compare 673 and 637,Ignores tens and units,Highlight the importance of tens and units.
K2,Measurement,counting money and money word problems,Memory,Forgetting coin values,How much is a quarter worth?,Saying a quarter is worth 15 cents.,Reinforce coin values through repetitive practice using games.
K2,Measurement,use metric and standard units,Attention,Loses focus when comparing units,Circle the tallest object: a 1-meter stick or a 30-cm ruler.,Chooses the 30-cm ruler due to distraction.,"Use engaging activities that require focus, like measuring classroom objects."
K2,Numbers and Operations,comparing 3-digit numbers (less than / greater than / equal),Misinterpretation,Misinterpreting the question or symbols,Compare 123 and 132,Thinks the 'less than' symbol means greater than.,Clarify the meaning of each symbol with clear examples.
K2,Numbers and Operations,"skip counting by 5s, 10s, and 100s",Cognitive,Overwhelmed by the concept of skip counting,Skip count by 5s starting from 0.,Student becomes confused and unable to proceed.,Simplify the task and provide step-by-step guidance.
K2,Numbers and Operations,adding up to four 2-digit numbers,Conceptual,Misunderstanding Addition as Repeated Counting,14 + 18 + 23 + 29,Thinking of addition as simply counting forward.,Discuss the broader concept of addition beyond counting.
K2,Numbers and Operations,adding and subtracting whole hundreds,Procedural,Misalignment of numbers,500 - 300,"Subtracting numbers that are not aligned properly, like subtracting 0 from 5.",Demonstrate how to properly align numbers by their place values before performing operations.
K2,Geometry,attributes of different shapes,Memory,Forgetting Shape Properties,Forgetting that a square has equal sides.,Not recalling shape properties during exercises.,Reinforce learning with repeated practice and quizzes.
K2,Numbers and Operations,"adding and subtracting within 1,000",Conceptual,Difficulty with Estimating Sums/Differences,Estimate: 523 + 298,Unable to round numbers appropriately for estimation.,Teach rounding rules clearly and provide practice with estimating sums/differences.
K2,Numbers and Operations,"adding and subtracting within 1,000",Language Barrier,Struggling with math vocabulary terms like 'add' and 'subtract'.,Solve: 250 + 300,Confuses 'add' with 'subtract' and tries to calculate 250 - 300.,Use visual aids and simple language to explain the terms 'add' and 'subtract'.
K2,Measurement,measure objects using rules,Procedural,Inability to Read Fractions on a Ruler,Measure 3 and 3/4 inches on a ruler.,"Student only reads whole numbers, ignoring fractional parts.",Guide students on how to read and interpret fractional markings on a ruler.
K2,Measurement,telling time,Conceptual,Misinterpretation of the minute hand movement,Where is the minute hand at 15 minutes past?,Saying on 1 instead of 3.,Explain how the minute hand moves in increments of 5.
K2,Measurement,measure objects using rules,Procedural,Incorrect Alignment with Zero Mark,Measure the length of a book using a ruler.,Student starts measuring from the 1 mark instead of the 0 mark.,Demonstrate how to correctly align objects with the zero mark on the ruler.
K2,Geometry,partitioning rectangles and other shapes,Conceptual,Confusion About the Role of Partition Lines,Explain the purpose of lines in partitioning.,"Thinks lines are decorative, not functional.",Clarify the functional role of lines in partitioning.
K2,Numbers and Operations,comparing 3-digit numbers (less than / greater than / equal),Conceptual,Misunderstanding Number Magnitude,Which is larger: 599 or 600?,Thinks 599 is larger,Clarify how each digit contributes to the number's value.
K2,Measurement,measure objects using rules,Procedural,Lack of Skills in Measuring Irregular Shapes,Measure the perimeter of an irregular shape.,Student struggles with measuring non-standard shapes.,Teach techniques for measuring irregular shapes accurately.
K2,Measurement,counting money and money word problems,Misconception,Confusion between coin names and values,"If you have a nickel and a quarter, how much is that?",Thinks a nickel is worth 25 cents.,Clarify misconceptions with consistent practice and reinforcement.
K2,Measurement,use metric and standard units,Conceptual,Confusing Temperature Units,Convert 20°C to Fahrenheit.,Using an incorrect conversion formula.,Teach the conversion formula: (°C × 9/5) + 32 = °F.
K2,Measurement,compare lengths,Conceptual,Thinking length must be measured in a straight line,Measure the curved line on the paper.,Attempts to measure as a straight line.,Explain the concept of measuring curves.
K2,Measurement,compare lengths,Attention,Overlooking small increments in measurement,Measure the string using blocks.,Ignores small leftover piece of string.,Highlight the importance of including all parts.
K2,Numbers and Operations,"counting to 1,000",Attention,Losing Track Mid-Count,Count from 1 to 100.,Stops counting at random points.,Encourage focus and provide breaks if needed. Use tools like a counting chart to help maintain progress.
K2,Numbers and Operations,"counting to 1,000",Conceptual,Misunderstanding of Number Line Position,Where does 750 go on this number line?,Places it at 700.,Explain how a number line is scaled and practice placing numbers.
K2,Numbers and Operations,comparing 3-digit numbers (less than / greater than / equal),Misconception,Incorrect beliefs about number size based on appearance,Compare 702 and 720,Thinks 702 is larger because it 'looks bigger'.,Discuss common misconceptions and correct them with examples.
K2,Numbers and Operations,comparing 3-digit numbers (less than / greater than / equal),Cognitive,Cognitive overload with multiple numbers,"Compare 578, 587, and 857",Confused and overwhelmed by three numbers at once.,"Break down the task into smaller parts, comparing two numbers at a time."
K2,Measurement,measure objects using rules,Conceptual,Misunderstanding Measurement Terms,Explain the concept of measurement.,"Student confuses terms like 'measure', 'weigh', and 'calculate'.",Use examples to clarify different measurement terms.
K2,Geometry,parts of a whole,Language Barrier,Difficulty understanding terms like 'half' or 'quarter'.,Divide a circle into quarters.,Does not understand the term 'quarters' and splits the circle into random parts.,Use simple language and visual aids to explain the terms.
K2,Numbers and Operations,adding up to four 2-digit numbers,Carelessness,Makes errors in simple calculations,32 + 14 + 23 + 11,Writes the wrong digit in the sum.,Encourage double-checking work.
K2,Geometry,circles,Procedural,Difficulty with Circle Constructions,Construct a circle given specific parameters.,Incorrectly using tools or misplacing elements.,Provide detailed instructions and practice opportunities.
K2,Numbers and Operations,"place value concepts (hundreds, tens and ones)",Procedural,Difficulty in regrouping numbers,Borrowing in subtraction: 152 - 49,"Subtracting without regrouping when needed, resulting in incorrect answers.",Use concrete objects like counters to demonstrate borrowing and regrouping.
K2,Numbers and Operations,comparing 3-digit numbers (less than / greater than / equal),Attention,Overlooking Repeated Numbers,Compare 333 and 333,Thinks they are different,Highlight numbers that are exactly the same.
K2,Numbers and Operations,comparing 3-digit numbers (less than / greater than / equal),Arithmetic,Mistakenly performing arithmetic operations instead of comparison,Compare 300 and 299,Student tries to add or subtract the numbers instead of comparing.,Clarify that comparison does not involve operations like addition or subtraction.
K2,Numbers and Operations,"place value concepts (hundreds, tens and ones)",Calculation Error,Errors in calculations due to misunderstanding place value,Calculate the sum of 102 and 210.,"Incorrectly adds numbers, leading to 312 instead of 312.",Review calculation steps and emphasize place value understanding.
K2,Numbers and Operations,comparing 3-digit numbers (less than / greater than / equal),Conceptual,Difficulty Understanding Place Value,Compare 245 and 254,Thinks 245 is greater than 254 because 5 is greater than 4,"Review the importance of hundreds, tens, and units, focusing on the leftmost digit first."
K2,Numbers and Operations,adding up to four 2-digit numbers,Sequential Processing,Mixes up the order of operations,14 + 23 + 36 + 27,Accidentally adds numbers in the wrong order.,Guide through step-by-step processing.
K2,Measurement,telling time,Conceptual,Confusion with time increments and decrements,What time is it 15 minutes before 6:00?,Saying 5:45 instead of 5:45.,Illustrate subtracting time increments.
K2,Data Analysis,line plots,Procedural,Errors in identifying the median from a line plot,"Line plot with data 1, 2, 3, 4, 5; Incorrect median identified",Misunderstanding how to find the middle value.,Show how to locate the median by arranging data in order.
K2,Numbers and Operations,"skip counting by 5s, 10s, and 100s",Attention,Getting Distracted by External Stimuli,Count by 5s up to 100,"Stops mid-sequence due to distraction: 5, 10, 15...",Create a focused environment and gently prompt the student back.
K2,Numbers and Operations,"place value concepts (hundreds, tens and ones)",Procedural,Inaccurate division due to misunderstanding of place value,Dividing 120 by 3,Misplacing digits in the quotient.,Explain how place value affects the division process.
K2,Measurement,compare lengths,Conceptual,Difficulty in understanding the concept of length,Compare the length of a pencil to a crayon.,Thinks the crayon is longer because it is thicker.,"Explain that length is about how long something is, not how thick."
K2,Geometry,attributes of different shapes,Procedural,Inability to Count Sides Correctly,Identifying a triangle as a shape with four sides.,Counting the sides of a triangle incorrectly.,Practice counting sides using visual aids and counting aloud.
K2,Numbers and Operations,"skip counting by 5s, 10s, and 100s",Sequential Processing,Difficulty processing the sequence of numbers,Skip count by 100s starting from 500.,Student cannot keep track of the sequence and starts over.,Use sequential aids like number lines.
K2,Numbers and Operations,"counting to 1,000",Conceptual,Misinterpreting 'Equal To',Is 1000 equal to 1000?,The student says no.,Discuss the meaning of 'equal to' using examples of identical numbers.
K2,Numbers and Operations,word problems,Language Barrier,Misinterpreting Time-Related Terms,"You play for 3 hours, then 2 more hours. How long did you play?",Confusion with 'hours' as a unit of time.,Clarify 'hours' as a unit and its role in addition.
K2,Data Analysis,bar graphs,Conceptual,Overlooking the Importance of a Key,Not including a key to explain the graph's colors or patterns.,Assuming viewers will understand colors/patterns without a key.,Explain the purpose of a key in interpreting graph elements.
K2,Geometry,attributes of different shapes,Procedural,Struggle with Shape Composition,Inability to form a rectangle using two triangles.,Failing to compose new shapes from given ones.,Use puzzles and interactive activities to practice shape composition.
K2,Measurement,compare lengths,Attention,Skipping steps in the measurement process,Measure a table using blocks.,Does not start measuring from the end of the table.,Remind students to start measuring from one end and go to the other.
K2,Geometry,circles,Cognitive,Cognitive overload with multiple circle tasks,Color the circles and then count them.,Colors incorrectly due to being overwhelmed.,"Break tasks into smaller, manageable parts."
K2,Geometry,circles,Conceptual,Misinterpreting Circle Symmetry,Explain why a circle has infinite lines of symmetry.,Thinking symmetry in circles is limited to a few lines.,Demonstrate symmetry with rotational and reflective examples.
K2,Geometry,attributes of different shapes,Conceptual,Misunderstanding of Shape Volume,Confusing volume with surface area.,Not grasping the concept of volume.,Use containers and filling exercises to teach volume.
K2,Numbers and Operations,comparing 3-digit numbers (less than / greater than / equal),Memory,Forgetting Comparison Rules,Compare 781 and 817,Forgets to compare left to right,Revisit rules for comparing digits from left to right.
K2,Data Analysis,line plots,Conceptual,Mixing up the x-axis and y-axis,Line plot: Xs placed on the vertical axis,Confusing which axis to plot the data on.,Clarify the roles of the x-axis and y-axis in line plots.
K2,Numbers and Operations,"skip counting by 5s, 10s, and 100s",Attention,Losing focus during the counting sequence,Skip count by 10s starting from 20.,Student starts correctly but loses track and reverts to counting by 1s.,Engage the student with interactive counting songs or activities to maintain focus.
K2,Data Analysis,line plots,Procedural,Omitting zero frequency data on the plot,Data range 0-5; Zero not included in the plot,Not including numbers that have a frequency of zero.,"Ensure all numbers in the range are represented, even if zero."
K2,Measurement,estimate lengths,Conceptual,Misinterpreting Length vs. Height,Estimate the length of a tree.,Confusing height for length.,Clarify the difference between length and height.
K2,Measurement,telling time,Procedural,Inability to read half past times,"What time is it when the short hand is between 3 and 4, and the long hand is on 6?",Saying it is 3:06 instead of 3:30.,"Clarify that when the long hand is on 6, it means half past the hour."
K2,Numbers and Operations,word problems,Analytical,Difficulty analyzing the problem structure,"Three ducks are in a pond, and 2 more join them. How many ducks are there now?",Not recognizing the need to add the numbers.,Guide through the process of identifying operations needed.
K2,Geometry,parts of a whole,Conceptual,Difficulty understanding the concept of parts and wholes,"A pizza is cut into 4 equal parts, how many parts make the whole pizza?",Thinking 3 parts make a whole because 3 is a big number.,Use real-life objects like a pizza cut into slices to demonstrate the idea of parts making a whole.
K2,Numbers and Operations,adding and subtracting whole hundreds,Procedural,Overlooking zeros in addition,500 + 300,Writing 80 instead of 800.,Highlight the importance of zeros in maintaining place value.
K2,Measurement,compare lengths,Procedural,Miscounting units,Count how many cubes long the line is.,Counts incorrectly due to distraction or speed.,"Encourage careful, slow counting."
K2,Measurement,counting money and money word problems,Strategic,Not using estimation for quick checks,Estimate the total value of 10 dimes.,Counting each dime instead of estimating.,Introduce estimation as a tool for checking reasonableness.
K2,Measurement,counting money and money word problems,Conceptual,Difficulty relating coin values to paper money,How many quarters make a dollar?,Counting incorrectly or thinking a dollar is a single coin.,Use visuals and physical coins to equate groups of coins to dollar bills.
K2,Data Analysis,line plots,Conceptual,Confusion between line plots and bar graphs,"Line plot: 1 X above 2, 3 Xs above 5",Drawing bars instead of using Xs to represent data.,Clarify the difference between line plots and bar graphs using examples.
K2,Measurement,counting money and money word problems,Sequential Processing,Trouble following steps in order,"First, add the nickels, then the dimes.","Adds coins in any order, causing mistakes.","Practice sequencing with simple, clear instructions."
K2,Numbers and Operations,word problems,Comprehension,Difficulty comprehending complex sentences,"If you have 12 apples and give 5 to your friend, how many do you have left?",Confused by the structure of the sentence.,Simplify language and check for understanding.
K3,Geometry,area and perimeter of rectangles,Conceptual,Difficulty Visualizing Area without a Grid,Find the area of a 5 by 4 rectangle.,Struggles to calculate area without visual aids.,Provide grid paper for visualizing and calculating areas.
K3,Numbers and Operations,introduction to multiplication,Procedural,Incorrectly Solving for Unknowns in Equations,3 x ? = 12,Randomly guessing the missing number.,Teach strategies to solve for unknowns systematically.
K3,Numbers and Operations,rounding numbers to the nearest 10 or 100,Procedural,Incorrectly rounding numbers ending in 9,Round 59 to the nearest 10,Rounding 59 to 50 instead of 60,Teach that numbers ending in 9 should be rounded up.
K3,Numbers and Operations,fractions as parts of a whole,Attention,Losing focus during fraction exercises,Color one-third of the circle.,Colors more than one-third due to lack of attention.,"Encourage short, focused activities with breaks to maintain attention."
K3,Numbers and Operations,introduction to division,Misconception,Thinks division always makes numbers smaller,Divide 5 by 0.5.,Assumes division will result in a smaller number.,Explain that division can increase numbers when dividing by fractions.
K3,Data Analysis,Picture graphs and bar graphs to represent data in multiple categories,Procedural,Errors in Graph Alignment,Misaligning bars or symbols on the graph.,"Placing elements unevenly, leading to confusion.",Practice aligning graph elements for clarity.
K3,Numbers and Operations,introduction to division,Conceptual,Confusion with Division of Fractions,1/2 divided by 1/4 equals?,Flipping both fractions instead of just the second.,"Clarify the rule: keep, change, flip."
K3,Geometry,classification of shapes by their properties,Visual-Spatial,Difficulty Distinguishing Similar Shapes,Differentiate between a rectangle and a parallelogram,Confusing a parallelogram with a rectangle,"Point out key differences, like angle measurements, through comparison."
K3,Measurement,telling time to the nearest minute and time word problems,Procedural,Forgetting to Add/Subtract Hours Correctly,"If it's 10:30, what will the time be in 45 minutes?",Answering 10:75 instead of 11:15.,Teach how to convert 60 minutes into an hour when adding time.
K3,Numbers and Operations,multiply and divide within 100,Logical Reasoning,Struggling to apply logical steps,"If 4 x 5 = 20, what is 20 ÷ 5?",Failing to see the inverse relationship and guessing.,Guide through logical reasoning by showing inverse relationships.
K3,Numbers and Operations,multiply and divide within 100,Procedural,Difficulty with multiplication facts,7 x 8,"Incorrectly recalling multiplication facts, e.g., saying 7 x 8 = 54",Practice multiplication tables regularly and use mnemonic devices to help remember them.
K3,Numbers and Operations,rounding numbers to the nearest 10 or 100,Arithmetic,Difficulty with basic addition/subtraction involved in rounding,Round 93 to the nearest 10.,Miscalculates and rounds to 80 instead of 90.,Reinforce basic arithmetic skills with targeted practice.
K3,Numbers and Operations,fractions as parts of a whole,Analytical,Trouble analyzing fraction problems,What fraction of this group is apples if there are 3 apples and 6 oranges?,Counts wrong and gives incorrect fraction.,Guide through counting and grouping exercises.
K3,Data Analysis,Picture graphs and bar graphs to represent data in multiple categories,Conceptual,Understanding What a Picture Graph Represents,A picture graph with apples and oranges representing quantities.,Thinking each fruit icon represents just one fruit instead of a specified quantity.,"Explain that each icon in the graph represents a set number of fruits, not just one."
K3,Geometry,area and perimeter of rectangles,Conceptual,Overlapping Concepts of Area and Volume,A rectangle has an area of 20. Is this volume?,"Confuses area with volume, thinking area measures how 'full' the rectangle is.",Clarify the distinction between area (2D) and volume (3D).
K3,Numbers and Operations,relationship between addition and subtraction,Conceptual,Difficulty with Multi-step Reasoning,3 + 7 - 2 + 4,Losing track in complex problems.,Break down problems into simpler steps.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Misunderstanding Fractions as Parts of a Whole,Shade 1/3 of a circle,Shading more or less than one-third of the circle.,Use a real pie or cake model to demonstrate how a whole can be divided into equal parts.
K3,Geometry,area and perimeter of rectangles,Calculation Error,Simple arithmetic mistakes.,Calculate the perimeter of a rectangle with sides 7 and 2.,Adds sides incorrectly to get the wrong perimeter.,Review addition skills and use visual aids for support.
K3,Numbers and Operations,introduction to multiplication,Conceptual,Mistaking Multiplication for Division,9 x 3,Dividing 9 by 3 instead.,Differentiate between multiplication and division with visual aids.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Calculation Error,Mistakes in adding up counted squares,Add the squares to get the total area.,Student makes errors in simple addition.,Use visual aids like counters to help with addition.
K3,Numbers and Operations,multiply and divide within 100,Conceptual,Misunderstanding multiplication as repeated addition,5 x 6,Thinking 5 x 6 is the same as 5 + 6,Clarify that multiplication is repeated addition of the same number multiple times.
K3,Numbers and Operations,"place value of ones, tens and hundreds",Procedural,Confusing Rounding with Place Value,Rounding 534 to 530 instead of 500,Applying incorrect rounding rules.,Clarify rounding rules by practicing with number lines.
K3,Data Analysis,Picture graphs and bar graphs to represent data in multiple categories,Conceptual,Confusion Between Picture and Bar Graphs,Trying to add pictures to a bar graph format.,Mixing elements of picture graphs and bar graphs inappropriately.,Clarify the distinct features and purposes of each graph type.
K3,Measurement,estimating and measuring volumes of liquids,Analytical,Analyzing the best method to measure,Which tool should you use to measure the water?,Uses a ruler instead of a measuring cup.,Discuss why certain tools are better for measuring liquids.
K3,Geometry,partitioning of shapes into equal parts,Cognitive,Difficulty with Complex Shapes,Partition a complex shape into equal parts.,Struggling to partition complex shapes into equal parts.,Break down complex shapes into simpler components.
K3,Measurement,telling time to the nearest minute and time word problems,Strategic,Lacking strategy to solve time problems,"If the bus arrives every 15 minutes and you miss the 3:00 bus, when is the next one?",Guessing rather than calculating the next bus time.,Encourage using a systematic approach to find the answer.
K3,Numbers and Operations,"place value of ones, tens and hundreds",Procedural,Difficulty in regrouping numbers,Adding 27 + 35 and writing the sum as 512.,Failing to carry over the ten when adding numbers.,Demonstrate how to carry over the extra ten to the next column using practice problems.
K3,Numbers and Operations,"adding and subtracting within 1,000",Procedural,Mixing up Addition and Subtraction Symbols,764 - 328,Uses the wrong operation due to symbol confusion.,Highlight the importance of carefully reading symbols.
K3,Numbers and Operations,"adding and subtracting within 1,000",Procedural,Overlooking Zero in Subtraction,400 - 182,"Ignores zero when borrowing, leading to incorrect subtraction.",Use clear examples to show how zero impacts borrowing.
K3,Data Analysis,Line plots,Conceptual,Difficulty in visualizing data distribution,"What does the line plot tell us about the data: 5, 5, 5, 6?",Failing to see patterns or clusters in the data.,Use visual aids to highlight clusters or patterns in the data.
K3,Geometry,area and perimeter of rectangles,Conceptual,Misunderstanding Properties of Rectangles,How many sides of equal length does a rectangle have?,"Confuses rectangles with squares, thinking all sides are equal.",Clarify the properties that differentiate rectangles from squares.
K3,Measurement,estimating and measuring masses,Conceptual,Assuming Mass is Visible,Believing bigger objects are always heavier.,Misjudging mass based on visible size alone.,Discuss how density impacts perceived mass.
K3,Numbers and Operations,fractions as parts of a whole,Carelessness,Makes errors due to rushing,Write the fraction shown in the picture.,Writes incorrect fraction due to hasty observation.,Encourage careful review of work before submission.
K3,Measurement,measuring lengths (including in fractions of an inch),Procedural,Forgetting to Use Proper Units,Measure 1 1/4 inch using the ruler.,Reports measurement in centimeters.,Emphasize the importance of using correct units.
K3,Numbers and Operations,relationship between addition and subtraction,Procedural,Failure to Record Steps,10 + 5 - 4,Not writing down intermediate steps.,Encourage writing each step to track progress.
K3,Numbers and Operations,fractions as parts of a whole,Conceptual,Misconception of Fraction Size,"Which is larger, 1/2 or 1/3?",Believing 1/3 is larger because 3 is larger than 2.,Use fraction strips to compare sizes and understand smaller denominators mean larger parts.
K3,Measurement,measuring lengths (including in fractions of an inch),Arithmetic,Incorrectly adds fractional measurements,Add 2 1/4 inches and 3 1/2 inches.,Adds the fractions without a common denominator.,Review how to find a common denominator before adding.
K3,Numbers and Operations,rounding numbers to the nearest 10 or 100,Procedural,Confusing rounding up with adding,Round 48 to the nearest 10,Adding 10 to 48 instead of rounding,Clarify the difference between rounding and basic addition operations.
K3,Numbers and Operations,"place value of ones, tens and hundreds",Procedural,Writing Numbers Backwards,Writing 123 as 321.,Reversing the order of digits.,Use number cards to sequence numbers in the correct order.
K3,Geometry,classification of shapes by their properties,Comprehension,Difficulty understanding instructions for shape tasks,Find all the quadrilaterals.,Includes triangles due to misunderstanding.,"Use clear, simple instructions and check understanding."
K3,Measurement,telling time to the nearest minute and time word problems,Conceptual,Confusion with 'Noon' and 'Midnight',What time is 12 noon?,Confusing it with 12 AM.,Explain the distinction between noon and midnight.
K3,Geometry,area and perimeter of irregular shapes by counting squares,Conceptual,Misunderstanding Proportionality in Grid Counting,Recognize proportional relationships in grid counting.,Failing to see how proportions affect counting.,Explain proportional relationships with visual aids.
K3,Measurement,estimating and measuring volumes of liquids,Procedural,Inconsistent Measuring Technique,Measure the same volume multiple times.,Getting different results due to inconsistent technique.,Stress the importance of consistent technique for accuracy.
K3,Geometry,area and perimeter of rectangles,Conceptual,Confusion with Units,A rectangle has length 8 m and width 5 m. What is the area?,Providing the area as 40 instead of 40 square meters.,"Stress the importance of units in measurement, especially for area."
K3,Numbers and Operations,relationship between addition and subtraction,Misinterpretation,Misunderstanding the problem statement,Subtract 2 from 5.,Adds 2 to 5 instead.,Rephrase the problem in simpler terms.
K3,Data Analysis,Line plots,Conceptual,Misinterpreting the concept of average,"Find the average of the data: 2, 2, 3, 4.",Confusing average with median or mode.,Explain how to calculate average and its difference from median and mode.
K3,Geometry,area and perimeter of rectangles,Strategic,Not planning the steps needed to solve the problem.,What are the area and perimeter of a rectangle with length 7 and width 3?,Randomly attempts calculations without planning.,Teach problem-solving steps and strategies.
K3,Numbers and Operations,fractions as parts of a whole,Comprehension,Misunderstanding instructions,Shade one-fifth of the shape.,Shades either more or less than one-fifth.,Clarify instructions using step-by-step guidance.
